name	url	old_id	id	date	organization
Subsidieregeling groene schoolpleinen	https://zoek.officielebekendmakingen.nl/gmb-2024-425476.html	gmb-2024-425476	neder-betuwe-425476	09-10-2024	Neder-Betuwe
Bestemmingsplan ‘Kom Etten, locatie Palmlaan en Strik'	https://zoek.officielebekendmakingen.nl/gmb-2024-423342.html	gmb-2024-423342	oude_ijsselstreek-423342	09-10-2024	Oude IJsselstreek
Rectificatie van de Omgevingsverordening Fryslân 2022	https://zoek.officielebekendmakingen.nl/prb-2024-15413.html	prb-2024-15413	fryslan-4-15413	09-10-2024	Fryslân
Ondermandaatbesluit directeur DCMR Milieudienst Rijnmond Voorne aan Zee 2024	https://zoek.officielebekendmakingen.nl/bgr-2024-1873.html	bgr-2024-1873	dcmr_milieudienst_rijnmond-24-1873	09-10-2024	DCMR Milieudienst Rijnmond
Algemene Verordening Ondergrondse Infrastructuren Gemeente Tilburg	https://zoek.officielebekendmakingen.nl/gmb-2024-424073.html	gmb-2024-424073	tilburg-424073	08-10-2024	Tilburg
Nota vastgoed 2023	https://zoek.officielebekendmakingen.nl/gmb-2024-424895.html	gmb-2024-424895	de_bilt-424895	08-10-2024	De Bilt
Nota Grondbeleid 2024	https://zoek.officielebekendmakingen.nl/gmb-2024-424894.html	gmb-2024-424894	de_bilt-424894	08-10-2024	De Bilt
Transitievisie Warmte Hof van Twente	https://zoek.officielebekendmakingen.nl/gmb-2024-422668.html	gmb-2024-422668	hof_van_twente-422668	07-10-2024	Hof van Twente
Omgevingsplan gemeente Waalre, wijziging Centrum Wonen	https://zoek.officielebekendmakingen.nl/gmb-2024-424540.html	gmb-2024-424540	waalre-424540	07-10-2024	Waalre
Nota Bossen en Natuurterreinen 2024 - 2034	https://zoek.officielebekendmakingen.nl/gmb-2024-421038.html	gmb-2024-421038	heeze-leende-421038	04-10-2024	Heeze-Leende
Subsidieregeling positief dierenwelzijn Amsterdamse Kinderboerderijen	https://zoek.officielebekendmakingen.nl/gmb-2024-417545.html	gmb-2024-417545	amsterdam-417545	04-10-2024	Amsterdam
Wijzigingen Waterschapsverordening en legger waterveiligheid Hoogheemraadschap Hollands Noorderkwartier ter inzage	https://zoek.officielebekendmakingen.nl/wsb-2024-21048.html	wsb-2024-21048	hoogheemraadschap_hollands_noorderkwartier-4-21048	04-10-2024	Hoogheemraadschap Hollands Noorderkwartier
Ontwerp Volkshuisvestingsprogramma 'Samen bouwen aan goed wonen' gemeente Deventer	https://zoek.officielebekendmakingen.nl/gmb-2024-419027.html	gmb-2024-419027	deventer-419027	03-10-2024	Deventer
Gemeente Sittard-Geleen (gewijzigd) vastgesteld bestemmingsplan ‘Bergbezinkbassins Sittard-Geleen’	https://zoek.officielebekendmakingen.nl/gmb-2024-418183.html	gmb-2024-418183	sittard-geleen-418183	03-10-2024	Sittard-Geleen
Woonvisie 2024-2040 – Thuis in Breda	https://zoek.officielebekendmakingen.nl/gmb-2024-418984.html	gmb-2024-418984	breda-418984	03-10-2024	Breda
Subsidieregeling positief dierenwelzijn Amsterdamse Kinderboerderijen	https://zoek.officielebekendmakingen.nl/gmb-2024-415007.html	gmb-2024-415007	amsterdam-415007	02-10-2024	Amsterdam
Wijzigingsbesluit Omgevingsplan gemeente Amsterdam: Basisregeling	https://zoek.officielebekendmakingen.nl/gmb-2024-411678.html	gmb-2024-411678	amsterdam-411678	02-10-2024	Amsterdam
Omgevingsvisie Noordoostpolder	https://zoek.officielebekendmakingen.nl/gmb-2024-419491.html	gmb-2024-419491	noordoostpolder-419491	02-10-2024	Noordoostpolder
Eerste wijzigingsverordening Omgevingsverordening Fryslân 2022	https://zoek.officielebekendmakingen.nl/prb-2024-14996.html	prb-2024-14996	fryslan-4-14996	02-10-2024	Fryslân
Omgevingsprogramma gemeente Zoetermeer Gebied Van Tuyllpark en de Noordelijke Bedrijventerreinen	https://zoek.officielebekendmakingen.nl/gmb-2024-419444.html	gmb-2024-419444	zoetermeer-419444	02-10-2024	Zoetermeer
Kerkenvisie Oisterwijk	https://zoek.officielebekendmakingen.nl/gmb-2024-416442.html	gmb-2024-416442	oisterwijk-416442	02-10-2024	Oisterwijk
Call for proposals KIC Natuur-inclusieve besluitvorming in het bedrijfsleven Nederlandse Organisatie voor Wetenschappelijk Onderzoek	https://zoek.officielebekendmakingen.nl/stcrt-2024-31729.html	stcrt-2024-31729	nederlandse_organisatie_voor_wetenschappelijk_onderzoek-4-31729	02-10-2024	Nederlandse Organisatie voor Wetenschappelijk Onderzoek
Subsidieregeling natuur- en landschapsbeheer Noord-Brabant 2016	https://zoek.officielebekendmakingen.nl/prb-2024-14825.html	prb-2024-14825	noord-brabant-4-14825	01-10-2024	Noord-Brabant
Beeldkwaliteitsplan 'De Bakkerij' 	https://zoek.officielebekendmakingen.nl/gmb-2024-409929.html	gmb-2024-409929	kampen-409929	30-09-2024	Kampen
Beeldkwaliteitsplan De Werven	https://zoek.officielebekendmakingen.nl/gmb-2024-409932.html	gmb-2024-409932	kampen-409932	30-09-2024	Kampen
Omgevingsvisie van de gemeente Asten	https://zoek.officielebekendmakingen.nl/gmb-2024-414994.html	gmb-2024-414994	asten-414994	30-09-2024	Asten
Beeldkwaliteitsplan Het Haveneiland	https://zoek.officielebekendmakingen.nl/gmb-2024-409940.html	gmb-2024-409940	kampen-409940	30-09-2024	Kampen
Beeldkwaliteitsplan De Erven	https://zoek.officielebekendmakingen.nl/gmb-2024-409931.html	gmb-2024-409931	kampen-409931	30-09-2024	Kampen
Inkoopbeleid	https://zoek.officielebekendmakingen.nl/gmb-2024-409830.html	gmb-2024-409830	waalwijk-409830	30-09-2024	Waalwijk
(Deel)subsidieplafond EFRO Programma West Nederland 2021-2027	https://zoek.officielebekendmakingen.nl/gmb-2024-411801.html	gmb-2024-411801	rotterdam-411801	27-09-2024	Rotterdam
Tijdelijke regeling Isolatie Subsidie Achterhoek (ISA) voor eigenaar-bewoners t.b.v. het Nationaal Isolatie Programma (NIP) Montferland 2023-2027	https://zoek.officielebekendmakingen.nl/gmb-2024-407669.html	gmb-2024-407669	montferland-407669	26-09-2024	Montferland
Vastgesteld programma Piekfijnplein gemeente Deventer	https://zoek.officielebekendmakingen.nl/gmb-2024-411820.html	gmb-2024-411820	deventer-411820	26-09-2024	Deventer
Bijdrageregeling water en bodem Noord-Brabant	https://zoek.officielebekendmakingen.nl/prb-2024-14531.html	prb-2024-14531	noord-brabant-4-14531	25-09-2024	Noord-Brabant
Nota grondbeleid 2024-2028	https://zoek.officielebekendmakingen.nl/prb-2024-14496.html	prb-2024-14496	utrecht-4-14496	25-09-2024	Utrecht
Omgevingsvisie van de gemeente Meppel	https://zoek.officielebekendmakingen.nl/gmb-2024-407802.html	gmb-2024-407802	meppel-407802	24-09-2024	Meppel
Afwegingskader beoordelen kapaanvraag Laren 2024	https://zoek.officielebekendmakingen.nl/gmb-2024-401499.html	gmb-2024-401499	laren-401499	20-09-2024	Laren
Nota snippergroenbeleid gemeente Molenlanden 2024	https://zoek.officielebekendmakingen.nl/gmb-2024-399709.html	gmb-2024-399709	molenlanden-399709	19-09-2024	Molenlanden
Verordening Adviesraad duurzaamheid Den Helder 2024	https://zoek.officielebekendmakingen.nl/gmb-2024-398756.html	gmb-2024-398756	den_helder-398756	19-09-2024	Den Helder
Nota Vergunningen, Toezicht & Handhaving (VTH)	https://zoek.officielebekendmakingen.nl/gmb-2024-393595.html	gmb-2024-393595	alblasserdam-393595	18-09-2024	Alblasserdam
Woonvisie Hollands Kroon ambitie en balans	https://zoek.officielebekendmakingen.nl/gmb-2024-394846.html	gmb-2024-394846	hollands_kroon-394846	17-09-2024	Hollands Kroon
Programma Water en Riolering (PWR) 2023-2026 Castricum	https://zoek.officielebekendmakingen.nl/gmb-2024-392549.html	gmb-2024-392549	castricum-392549	16-09-2024	Castricum
Programma Water en Riolering (PWR) 2023-2026 Heiloo	https://zoek.officielebekendmakingen.nl/gmb-2024-392631.html	gmb-2024-392631	heiloo-392631	16-09-2024	Heiloo
Programma Water en Riolering (PWR) 2023-2026 Bergen	https://zoek.officielebekendmakingen.nl/gmb-2024-392633.html	gmb-2024-392633	bergen_(nh)-392633	16-09-2024	Bergen (NH)
Programma Water en Riolering (PWR) 2023-2026 Uitgeest	https://zoek.officielebekendmakingen.nl/gmb-2024-392585.html	gmb-2024-392585	uitgeest-392585	16-09-2024	Uitgeest
Woonzorgvisie Zevenaar 2024-2028	https://zoek.officielebekendmakingen.nl/gmb-2024-390347.html	gmb-2024-390347	zevenaar-390347	16-09-2024	Zevenaar
Omgevingsvisie Lochem 2040 “Krachtig en in balans”	https://zoek.officielebekendmakingen.nl/gmb-2024-393767.html	gmb-2024-393767	lochem-393767	13-09-2024	Lochem
Ontwerp Projectbesluit Aramis	https://zoek.officielebekendmakingen.nl/stcrt-2024-30166.html	stcrt-2024-30166	klimaat_en_groene_groei-4-30166	13-09-2024	Ministerie van Klimaat en Groene Groei
Ontwerp wijziging werkingsgebieden en bijlagen ronde 2024-II Omgevingsverordening NH2022	https://zoek.officielebekendmakingen.nl/prb-2024-13964.html	prb-2024-13964	noord-holland-4-13964	12-09-2024	Noord-Holland
Gemeente Duiven - aanleggen van een trottoir en daarmee het opheffen van de rijbaan - aan Mondriaanstraat nabij nummer 12 t/m16 te Duiven.	https://zoek.officielebekendmakingen.nl/gmb-2024-388653.html	gmb-2024-388653	duiven-388653	12-09-2024	Duiven
Nadere subsidieregels voor Vierde Projectoproep Interreg Maas-Rijn (NL-BE-DE)	https://zoek.officielebekendmakingen.nl/prb-2024-13893.html	prb-2024-13893	limburg-4-13893	12-09-2024	Limburg
Subsidieregeling klimaatadaptatie maatregelen gemeente Meppel	https://zoek.officielebekendmakingen.nl/gmb-2024-384228.html	gmb-2024-384228	meppel-384228	11-09-2024	Meppel
Wijziging omgevingsvisie met uitwerking stad Schagen 2040	https://zoek.officielebekendmakingen.nl/gmb-2024-390410.html	gmb-2024-390410	schagen-390410	11-09-2024	Schagen
Beleidsplan Klimaatadaptatie Alkmaar 2024-2028	https://zoek.officielebekendmakingen.nl/gmb-2024-385828.html	gmb-2024-385828	alkmaar-385828	10-09-2024	Alkmaar
