url	name	date	text	organization	id	description
https://lansingerland.bestuurlijkeinformatie.nl/lib/pdftron/webviewer/public/ui/index.html#d=%22%2FDocument%2FView%2F33cffa87-a0cb-4162-a544-ae5167f3cfab%22&extension=pdf&filename=M2021-032%20Expliciteren%20klimaatadaptatie%20en%20energietransitie%20in%20omgevingsvisie.pdf&a=1&disabledElements=thumbnailControl%2CtoggleNotesButton%2CmarkReplaceTextToolButton%2Cribbons&readonly=1&filepicker=0&pdfnet=0&enableRedaction=0&disableVirtualDisplayMode=0&enableMeasurement=0&notesInLeftPanel=0&autoExpandOutlines=0&enableAnnotationNumbering=0&enableOfficeEditing=0&singleServerMode=false&accessibleMode=1&disableLogs=1&selectAnnotationOnCreation=0&autoFocusNoteOnAnnotationSelection=1&showInvalidBookmarks=1&id=1&basePath=%2FReports%2FDocument%2F5d49b590-80f7-4ca9-b1d0-77c4e3c9441d&webViewerJSVersion=10.5.2	M2021-032 Expliciteren klimaatadaptatie en energietransitie in omgevingsvisie.pdf	2021-09-30	Moties: M2021-032	lansingerland	lansingerland-1447090	
https://lansingerland.bestuurlijkeinformatie.nl/lib/pdftron/webviewer/public/ui/index.html#d=%22%2FDocument%2FView%2Fa7f5b5b2-4032-48cd-8f0c-84247a72acf2%22&extension=pdf&filename=I21.01091%20Rapportage%20Financi%C3%ABle%20instrumenten%20klimaatadaptatie&a=1&disabledElements=thumbnailControl%2CtoggleNotesButton%2CmarkReplaceTextToolButton%2Cribbons&readonly=1&filepicker=0&pdfnet=0&enableRedaction=0&disableVirtualDisplayMode=0&enableMeasurement=0&notesInLeftPanel=0&autoExpandOutlines=0&enableAnnotationNumbering=0&enableOfficeEditing=0&singleServerMode=false&accessibleMode=1&disableLogs=1&selectAnnotationOnCreation=0&autoFocusNoteOnAnnotationSelection=1&showInvalidBookmarks=1&id=1&basePath=%2FAgenda%2FDocument%2F0b5777b8-475b-4048-98a9-296906156da6&webViewerJSVersion=10.5.2	I21.01091 Rapportage Financiële instrumenten klimaatadaptatie	2021-06-03	Gemeenteraad - donderdag 3 juni 2021 00:00 - 9.h. Ruimtelijke Adaptatie Strategie (amendement div fracties)	lansingerland	lansingerland-8448850	
https://lansingerland.bestuurlijkeinformatie.nl/lib/pdftron/webviewer/public/ui/index.html#d=%22%2FDocument%2FView%2F7eea3191-734b-48d3-95eb-70b6c68554c8%22&extension=pdf&filename=I21.01091%20Rapportage%20Financi%C3%ABle%20instrumenten%20klimaatadaptatie&a=1&disabledElements=thumbnailControl%2CtoggleNotesButton%2CmarkReplaceTextToolButton%2Cribbons&readonly=1&filepicker=0&pdfnet=0&enableRedaction=0&disableVirtualDisplayMode=0&enableMeasurement=0&notesInLeftPanel=0&autoExpandOutlines=0&enableAnnotationNumbering=0&enableOfficeEditing=0&singleServerMode=false&accessibleMode=1&disableLogs=1&selectAnnotationOnCreation=0&autoFocusNoteOnAnnotationSelection=1&showInvalidBookmarks=1&id=1&basePath=%2FAgenda%2FDocument%2Ff5d50248-73a9-4be4-82d1-bdac41052650&webViewerJSVersion=10.5.2	I21.01091 Rapportage Financiële instrumenten klimaatadaptatie	2021-05-18	Commissie Ruimte - dinsdag 18 mei 2021 00:00 - 6.d. Ruimtelijke Adaptatie Strategie	lansingerland	lansingerland-6687826	
https://lansingerland.bestuurlijkeinformatie.nl/lib/pdftron/webviewer/public/ui/index.html#d=%22%2FDocument%2FView%2F4aa76a93-cfee-4b7b-a214-426cc152988d%22&extension=pdf&filename=T19.02543%20Rapport%20Arcadis%2C%20klimaatadaptatie%20Berkel%20Centrum%20West&a=1&disabledElements=thumbnailControl%2CtoggleNotesButton%2CmarkReplaceTextToolButton%2Cribbons&readonly=1&filepicker=0&pdfnet=0&enableRedaction=0&disableVirtualDisplayMode=0&enableMeasurement=0&notesInLeftPanel=0&autoExpandOutlines=0&enableAnnotationNumbering=0&enableOfficeEditing=0&singleServerMode=false&accessibleMode=1&disableLogs=1&selectAnnotationOnCreation=0&autoFocusNoteOnAnnotationSelection=1&showInvalidBookmarks=1&id=1&basePath=%2FAgenda%2FDocument%2F63c5d1f5-c578-4b9a-b7ae-6f8c7e7e7482&webViewerJSVersion=10.5.2	T19.02543 Rapport Arcadis, klimaatadaptatie Berkel Centrum West	2019-11-12	Commissie Ruimte - dinsdag 12 november 2019 00:00 - 5.a. Inrichtingsplan openbare ruimte Berkel Centrum West - spreektijd 5' 1e termijn/3' 2e termijn	lansingerland	lansingerland-4566670	
https://lansingerland.bestuurlijkeinformatie.nl/lib/pdftron/webviewer/public/ui/index.html#d=%22%2FDocument%2FView%2Fa04cb711-6f9b-482b-82e4-3c29a9c00275%22&extension=pdf&filename=191016%20Bijlage%20Klimaatadaptatie%20in%20Berkel%20Centrum%20West.pdf&a=1&disabledElements=thumbnailControl%2CtoggleNotesButton%2CmarkReplaceTextToolButton%2Cribbons&readonly=1&filepicker=0&pdfnet=0&enableRedaction=0&disableVirtualDisplayMode=0&enableMeasurement=0&notesInLeftPanel=0&autoExpandOutlines=0&enableAnnotationNumbering=0&enableOfficeEditing=0&singleServerMode=false&accessibleMode=1&disableLogs=1&selectAnnotationOnCreation=0&autoFocusNoteOnAnnotationSelection=1&showInvalidBookmarks=1&id=1&basePath=%2FReports%2FDocument%2F6a815595-4440-44e6-9190-1e83e681a989&webViewerJSVersion=10.5.2	191016 Bijlage Klimaatadaptatie in Berkel Centrum West.pdf	2019-10-16	Brieven en memo's: Brief aan de raad betr. inrichtingsplan openbare ruimte Berkel Centrum West	lansingerland	lansingerland-2905502	
https://lansingerland.bestuurlijkeinformatie.nl/lib/pdftron/webviewer/public/ui/index.html#d=%22%2FDocument%2FView%2Fb8f8a1ca-b0f7-492e-b7c2-8672c1326da3%22&extension=pdf&filename=190413%20Raadsvragen%20D66%20aan%20het%20college%20over%20klimaatadapatie.pdf&a=1&disabledElements=thumbnailControl%2CtoggleNotesButton%2CmarkReplaceTextToolButton%2Cribbons&readonly=1&filepicker=0&pdfnet=0&enableRedaction=0&disableVirtualDisplayMode=0&enableMeasurement=0&notesInLeftPanel=0&autoExpandOutlines=0&enableAnnotationNumbering=0&enableOfficeEditing=0&singleServerMode=false&accessibleMode=1&disableLogs=1&selectAnnotationOnCreation=0&autoFocusNoteOnAnnotationSelection=1&showInvalidBookmarks=1&id=1&basePath=%2FReports%2FDocument%2Ffae833c9-c4a4-4b64-b939-0ff6bac906a0&webViewerJSVersion=10.5.2	190413 Raadsvragen D66 over klimaatadaptatie Berkel Centrum West Raadsvragen (schriftelijke vragen art. 37)	2019-04-13		lansingerland	lansingerland-3992255	
https://lansingerland.bestuurlijkeinformatie.nl/lib/pdftron/webviewer/public/ui/index.html#d=%22%2FDocument%2FView%2F39f8d2d9-4840-4b18-abd3-dc67a5692e64%22&extension=pdf&filename=A10-VNG%20ledenbrief%2019-007%20over%20bestuursakkoord%20klimaatadaptatie%20en%20aanvullende%20bestuurlijke%20afspraken%20water.pdf&a=1&disabledElements=thumbnailControl%2CtoggleNotesButton%2CmarkReplaceTextToolButton%2Cribbons&readonly=1&filepicker=0&pdfnet=0&enableRedaction=0&disableVirtualDisplayMode=0&enableMeasurement=0&notesInLeftPanel=0&autoExpandOutlines=0&enableAnnotationNumbering=0&enableOfficeEditing=0&singleServerMode=false&accessibleMode=1&disableLogs=1&selectAnnotationOnCreation=0&autoFocusNoteOnAnnotationSelection=1&showInvalidBookmarks=1&id=1&basePath=%2FReports%2FDocument%2F007395fe-e59e-4469-9413-4ceac93e40a2&webViewerJSVersion=10.5.2	A10-Bestuursakkoord klimaatadaptatie en aanvullende bestuurlijke afspraken water Brieven van derden aan de raad	2019-02-21		lansingerland	lansingerland-2495774	
https://lansingerland.bestuurlijkeinformatie.nl/lib/pdftron/webviewer/public/ui/index.html#d=%22%2FDocument%2FView%2F39f8d2d9-4840-4b18-abd3-dc67a5692e64%22&extension=pdf&filename=A10-VNG%20ledenbrief%2019-007%20over%20bestuursakkoord%20klimaatadaptatie%20en%20aanvullende%20bestuurlijke%20afspraken%20water.pdf&a=1&disabledElements=thumbnailControl%2CtoggleNotesButton%2CmarkReplaceTextToolButton%2Cribbons&readonly=1&filepicker=0&pdfnet=0&enableRedaction=0&disableVirtualDisplayMode=0&enableMeasurement=0&notesInLeftPanel=0&autoExpandOutlines=0&enableAnnotationNumbering=0&enableOfficeEditing=0&singleServerMode=false&accessibleMode=1&disableLogs=1&selectAnnotationOnCreation=0&autoFocusNoteOnAnnotationSelection=1&showInvalidBookmarks=1&id=1&basePath=%2FReports%2FDocument%2F007395fe-e59e-4469-9413-4ceac93e40a2&webViewerJSVersion=10.5.2	A10-VNG ledenbrief 19-007 over bestuursakkoord klimaatadaptatie en aanvullende bestuurlijke afspraken water.pdf	2019-02-21	Brieven van derden aan de raad: A10-Bestuursakkoord klimaatadaptatie en aanvullende bestuurlijke afspraken water	lansingerland	lansingerland-6051435	
https://westland.bestuurlijkeinformatie.nl/lib/pdftron/webviewer/public/ui/index.html#d=%22%2FDocument%2FView%2F3e09695c-ae73-4387-a671-624ba1468cd3%22&extension=pdf&filename=memo%20wethouder%20inzake%20verhoging%20impulsgeld%20klimaatadaptatie&a=1&disabledElements=thumbnailControl%2CtoggleNotesButton%2CmarkReplaceTextToolButton%2Cribbons&readonly=1&filepicker=0&pdfnet=0&enableRedaction=0&disableVirtualDisplayMode=0&enableMeasurement=0&notesInLeftPanel=0&autoExpandOutlines=0&enableAnnotationNumbering=0&enableOfficeEditing=0&singleServerMode=false&accessibleMode=1&disableLogs=1&selectAnnotationOnCreation=0&autoFocusNoteOnAnnotationSelection=1&showInvalidBookmarks=1&id=1&basePath=%2FAgenda%2FDocument%2F5a7652b1-e9d0-486e-8a53-f7d63d2f4304&webViewerJSVersion=10.5.2	memo wethouder inzake verhoging impulsgeld klimaatadaptatie	2023-04-04	Commissie Ruimte - dinsdag 4 april 2023 00:00 - 6.. Actie- en Toezeggingenlijst	westland	westland-0485873	
https://westland.bestuurlijkeinformatie.nl/lib/pdftron/webviewer/public/ui/index.html#d=%22%2FDocument%2FView%2F3e09695c-ae73-4387-a671-624ba1468cd3%22&extension=pdf&filename=memo%20wethouder%20inzake%20verhoging%20impulsgeld%20klimaatadaptatie&a=1&disabledElements=thumbnailControl%2CtoggleNotesButton%2CmarkReplaceTextToolButton%2Cribbons&readonly=1&filepicker=0&pdfnet=0&enableRedaction=0&disableVirtualDisplayMode=0&enableMeasurement=0&notesInLeftPanel=0&autoExpandOutlines=0&enableAnnotationNumbering=0&enableOfficeEditing=0&singleServerMode=false&accessibleMode=1&disableLogs=1&selectAnnotationOnCreation=0&autoFocusNoteOnAnnotationSelection=1&showInvalidBookmarks=1&id=1&basePath=%2FAgenda%2FDocument%2F5a7652b1-e9d0-486e-8a53-f7d63d2f4304&webViewerJSVersion=10.5.2	memo wethouder inzake verhoging impulsgeld klimaatadaptatie	2023-04-04	Commissie Ruimte - dinsdag 4 april 2023 00:00 - 6.. Actie- en Toezeggingenlijst	westland	westland-0485873	
