Unnamed: 0	document_name	url	date	format	type_doc	unique_id
0	RDV626046 20190218 Raadsvoorstel Ruimtelijk Raamwerk Aalsmeer Oost v3	https://aalsmeer.notubiz.nl/document/7408612/1#search=%22klimaatadaptatie%22	12-03-2019	document	Agendapunt	aalsmeer_7408612
1	RDV626046 20190218 Raadsvoorstel Ruimtelijk Raamwerk Aalsmeer Oost v3	https://aalsmeer.notubiz.nl/document/7468838/1#search=%22klimaatadaptatie%22	28-03-2019	document	Agendapunt	aalsmeer_7468838
2	20190212 Lijst ingekomen stukken van 12 december 2018 tot en met 12 februari 2019	https://aalsmeer.notubiz.nl/document/7335885/1#search=%22klimaatadaptatie%22	14-02-2019	document	Agendapunt	aalsmeer_7335885
3	20190218b Toelichting Ruimtelijk Raamwerk Aalsmeer Oost	https://aalsmeer.notubiz.nl/document/7408611/1#search=%22klimaatadaptatie%22	12-03-2019	document	Agendapunt	aalsmeer_7408611
4	20190218b Toelichting Ruimtelijk Raamwerk Aalsmeer Oost	https://aalsmeer.notubiz.nl/document/7468837/1#search=%22klimaatadaptatie%22	28-03-2019	document	Agendapunt	aalsmeer_7468837
5	3c MRA Werkplan en Begroting 2018 20170817	https://aalsmeer.notubiz.nl/document/5729817/1#search=%22klimaatadaptatie%22	28-09-2017	document	Agendapunt	aalsmeer_5729817
6	20190524 DEF Kadernota 2020	https://aalsmeer.notubiz.nl/document/7768562/1#search=%22klimaatadaptatie%22	27-06-2019	document	Agendapunt	aalsmeer_7768562
7	20180828 Raadsbrief inzake Collegeprogramma 2018-2022 'Vol vertrouwen vooruit' bijlage 20180828 Collegeprogramma 2018-2022 def	https://aalsmeer.notubiz.nl/document/6867446/1#search=%22klimaatadaptatie%22	27-09-2018	document	Agendapunt	aalsmeer_6867446
8	Printversie transcript	https://aalsmeer.notubiz.nl/document/7520401/1#search=%22klimaatadaptatie%22	28-03-2019	document	Agendapunt	aalsmeer_7520401
9	20190328 Aalsmeer Raad	https://aalsmeer.notubiz.nl/document/7611833/1#search=%22klimaatadaptatie%22	16-05-2019	document	Agendapunt	aalsmeer_7611833
10	20180925 Programmabegroting 2019 Aalsmeer - Raadsversie	https://aalsmeer.notubiz.nl/document/6980813/2#search=%22klimaatadaptatie%22	01-11-2018	document	Agendapunt	aalsmeer_6980813
11	20190318 Startnotitie Westeinderhage def	https://aalsmeer.notubiz.nl/document/7526361/1#search=%22klimaatadaptatie%22	15-04-2019	document	Agendapunt	aalsmeer_7526361
12	20190318 Startnotitie Westeinderhage def	https://aalsmeer.notubiz.nl/document/7611860/1#search=%22klimaatadaptatie%22	16-05-2019	document	Agendapunt	aalsmeer_7611860
13	Nota beleidskaders Ophelialaan westzijde	https://aalsmeer.notubiz.nl/vergadering/560431#ai_4533725	14-02-2019	Agendapunt	Evenement	aalsmeer_560431
14	Printversie notulen	https://aalsmeer.notubiz.nl/document/7562664/1#search=%22klimaatadaptatie%22	16-04-2019	document	Agendapunt	aalsmeer_7562664
15	20190416 Aalsmeer Raad	https://aalsmeer.notubiz.nl/document/7611832/1#search=%22klimaatadaptatie%22	16-05-2019	document	Agendapunt	aalsmeer_7611832
16	Printversie verslag	https://aalsmeer.notubiz.nl/document/7822444/1#search=%22klimaatadaptatie%22	27-06-2019	document	Agendapunt	aalsmeer_7822444
17	Printversie Verslag	https://aalsmeer.notubiz.nl/document/7376280/1#search=%22klimaatadaptatie%22	14-02-2019	document	Agendapunt	aalsmeer_7376280
18	20190214 Aalsmeer Raad	https://aalsmeer.notubiz.nl/document/7468815/1#search=%22klimaatadaptatie%22	28-03-2019	document	Agendapunt	aalsmeer_7468815
19	20181101 Verslag raadsvergadering	https://aalsmeer.notubiz.nl/document/7164372/1#search=%22klimaatadaptatie%22	13-12-2018	document	Agendapunt	aalsmeer_7164372
20	Printversie transcript	https://aalsmeer.notubiz.nl/document/7051323/1#search=%22klimaatadaptatie%22	01-11-2018	document	Agendapunt	aalsmeer_7051323
21	printversie agenda	https://aalsmeer.notubiz.nl/document/3879009/1#search=%22klimaatadaptatie%22	01-09-2016	document	Agendapunt	aalsmeer_3879009
