Unnamed: 0	document_name	url	date	format	type_doc	unique_id
0	Visie Almeerse Klimaatadaptatie (24029) KLIMAATADAPTATIE	https://almere.notubiz.nl/document/13770891/3#search=%22klimaatadaptatie%22	08-02-2024	document	Agendapunt	almere_13770891
1	Visie Almeerse klimaatadaptatie (23286) VISIE ALMEERSE KLIMAATADAPTATIE	https://almere.notubiz.nl/document/13418872/4#search=%22klimaatadaptatie%22	23-11-2023	document	Agendapunt	almere_13418872
2	Samenwerkingsovereenkomst Werkregio KlimaatAdaptatie Flevoland	https://almere.notubiz.nl/vergadering/903726#ai_6272339	28-09-2021	Agendapunt	Evenement	almere_903726
3	173 Samenwerkingsovereenkomst Klimaatadaptatie Flevoland	https://almere.notubiz.nl/document/10596938/1#search=%22klimaatadaptatie%22	29-09-2021	document	Raadsbrieven	almere_10596938
4	Visie Almeerse klimaatadaptatie AANGEHOUDEN	https://almere.notubiz.nl/vergadering/1145102#ai_7836317	11-07-2023	Agendapunt	Evenement	almere_1145102
5	Visie Almeerse Klimaatadaptatie	https://almere.notubiz.nl/vergadering/1269561#ai_8669860	03-09-2024	Agendapunt	Evenement	almere_1269561
6	CV Visie Almeerse Klimaatadaptatie	https://almere.notubiz.nl/document/14506345/2#search=%22klimaatadaptatie%22	03-09-2024	document	Agendapunt	almere_14506345
7	Raadsvoorstel Visie Almeerse Klimaatadaptatie (24210)	https://almere.notubiz.nl/vergadering/725131#ai_8663060	31-12-2024	Agendapunt	Evenement	almere_725131
8	Visie Almeerse Klimaatadaptatie (24210) RAADSVOORSTEL	https://almere.notubiz.nl/document/14491527/1#search=%22klimaatadaptatie%22	31-12-2024	document	Agendapunt	almere_14491527
9	Visie Almeerse Klimaatadaptatie (24210) VISIE	https://almere.notubiz.nl/document/14491538/1#search=%22klimaatadaptatie%22	31-12-2024	document	Agendapunt	almere_14491538
10	Visie Almeerse Klimaatadaptatie (24210) COLLEGEVOORSTEL	https://almere.notubiz.nl/document/14491551/1#search=%22klimaatadaptatie%22	31-12-2024	document	Agendapunt	almere_14491551
11	Visie Almeerse Klimaatadaptatie (23286) RAADSVOORSTEL	https://almere.notubiz.nl/document/13478073/2#search=%22klimaatadaptatie%22	23-11-2023	document	Agendapunt	almere_13478073
12	Visie Almeerse klimaatadaptatie (23286) COLLEGEVOORSTEL	https://almere.notubiz.nl/document/13418871/2#search=%22klimaatadaptatie%22	23-11-2023	document	Agendapunt	almere_13418871
13	Raadsvoorstel Visie Almeerse Klimaatadaptatie (24029)	https://almere.notubiz.nl/vergadering/1201954#ai_8181092	08-02-2024	Agendapunt	Evenement	almere_1201954
14	Visie Almeerse Klimaatadaptatie (24029) GESPREKSWIJZER	https://almere.notubiz.nl/document/13758858/4#search=%22klimaatadaptatie%22	08-02-2024	document	Agendapunt	almere_13758858
15	Visie Almeerse Klimaatadaptatie (24029) RAADSVOORSTEL	https://almere.notubiz.nl/document/13770878/2#search=%22klimaatadaptatie%22	08-02-2024	document	Agendapunt	almere_13770878
16	Visie Almeerse Klimaatadaptatie (24029) COLLEGEVOORSTEL	https://almere.notubiz.nl/document/13770916/2#search=%22klimaatadaptatie%22	08-02-2024	document	Agendapunt	almere_13770916
17	Visie Almeerse Klimaatadaptatie (24029) BESLUITENLIJST	https://almere.notubiz.nl/document/13816025/2#search=%22klimaatadaptatie%22	08-02-2024	document	Agendapunt	almere_13816025
18	Actualisatie mandaat impulsgelden Klimaatadaptatie Flevoland	https://almere.notubiz.nl/vergadering/1061323#ai_7240890	06-12-2022	Agendapunt	Evenement	almere_1061323
19	Raadsvoorstel Visie Almeerse Klimaatadaptatie (24029)	https://almere.notubiz.nl/vergadering/1201380#ai_8213476	15-02-2024	Agendapunt	Evenement	almere_1201380
20	Visie Almeerse Klimaatadaptatie (24029) GESPREKSWIJZER	https://almere.notubiz.nl/document/13797309/1#search=%22klimaatadaptatie%22	15-02-2024	document	Agendapunt	almere_13797309
21	Visie Klimaatadaptatie INGETROKKEN D.D. 3 SEPTEMBER 2024	https://almere.notubiz.nl/vergadering/1210136#ai_8254922	23-01-2024	Agendapunt	Evenement	almere_1210136
22	CV Samenwerkingsovereenkomst Werkregio Klimaatadaptatie Flevoland (KAF)	https://almere.notubiz.nl/document/10627166/2#search=%22klimaatadaptatie%22	28-09-2021	document	Agendapunt	almere_10627166
23	Vervolgproces Visie Almeerse klimaatadaptatie en Gemeentelijk rioleringsplan	https://almere.notubiz.nl/vergadering/1238525#ai_8447089	23-04-2024	Agendapunt	Evenement	almere_1238525
24	CV Actualisatie mandaat impulsgelden Klimaatadaptatie Flevoland	https://almere.notubiz.nl/document/12190433/2#search=%22klimaatadaptatie%22	06-12-2022	document	Agendapunt	almere_12190433
25	CV Vervolgproces Visie Almeerse klimaatadaptatie en Gemeentelijk rioleringsplan	https://almere.notubiz.nl/document/14166776/2#search=%22klimaatadaptatie%22	23-04-2024	document	Agendapunt	almere_14166776
26	072 - Vervolgproces Visie Almeerse klimaatadaptatie en Gemeentelijk rioleringsplan	https://almere.notubiz.nl/document/14083441/1#search=%22klimaatadaptatie%22	23-04-2024	document	Raadsbrieven	almere_14083441
27	Motie VVD: Klimaatadaptatie verdient een goede bespreking (24029.001) AANGENOMEN	https://almere.notubiz.nl/document/13842482/2#search=%22klimaatadaptatie%22	15-02-2024	document	Agendapunt	almere_13842482
28	Motie VVD: Klimaatadaptatie verdient een goede bespreking (24029.001)	https://almere.notubiz.nl/vergadering/1201379#ai_8219712	15-02-2024	Agendapunt	Evenement	almere_1201379
29	Visie Almeerse klimaatadaptatie INGETROKKEN D.D. 23 JANUARI 2024	https://almere.notubiz.nl/vergadering/1182847#ai_8056460	31-10-2023	Agendapunt	Evenement	almere_1182847
30	Motie VVD: Klimaatadaptatie verdient een goede bespreking (24029.001)	https://almere.notubiz.nl/vergadering/1201380#ai_8215204	15-02-2024	Agendapunt	Raadsvoorstel Visie Almeerse Klimaatadaptatie (24029)	almere_1201380
31	Motie VVD: Klimaatadaptatie verdient een goede bespreking (24029.001) MOTIE	https://almere.notubiz.nl/document/13797347/1#search=%22klimaatadaptatie%22	15-02-2024	document	Agendapunt	almere_13797347
32	Visie Almeerse klimaatadaptatie INGETROKKEN D.D. 31 OKTOBER 2023	https://almere.notubiz.nl/vergadering/1161520#ai_7942267	19-09-2023	Agendapunt	Evenement	almere_1161520
33	Motie Partij voor de Dieren en SP: Maatregelen klimaatadaptatie (RG-290) VERWORPEN	https://almere.notubiz.nl/document/10621808/2#search=%22klimaatadaptatie%22	30-09-2021	document	Agendapunt	almere_10621808
34	Motie Partij voor de Dieren en SP: Maatregelen klimaatadaptatie (RG-290) GEWIJZIGD	https://almere.notubiz.nl/vergadering/897016#ai_6235543	30-09-2021	Agendapunt	Evenement	almere_897016
35	Motie Partij voor de Dieren en SP: Maatregelen klimaatadaptatie (RG-290)	https://almere.notubiz.nl/vergadering/889937#ai_6204899	16-09-2021	Agendapunt	Visie openbare ruimte Almere, een toekomstbestendige stad (RV-68)	almere_889937
