Unnamed: 0	document_name	url	date	format	type_doc	unique_id
0	20231129 Onderzoeksopzet Klimaatadaptatie	https://amsterdam.notubiz.nl/document/13554793/1#search=%22klimaatadaptatie%22	30-11-2023	document	Overige dagelijkse berichten	amsterdam_13554793
1	Uitvoeringsagenda Klimaatadaptatie Amsterdam.pdf	https://amsterdam.notubiz.nl/document/13525521/1#search=%22klimaatadaptatie%22	23-11-2023	document	Agendapunt	amsterdam_13525521
2	Werkbezoek Programma Klimaatadaptatie	https://amsterdam.notubiz.nl/document/11627887/1#search=%22klimaatadaptatie%22	23-06-2022	document	Overige dagelijkse berichten	amsterdam_11627887
3	Raadsbrief Klimaatadaptatie. (BD2019-005159)	https://amsterdam.notubiz.nl/vergadering/558716#ai_4763072	03-07-2019	Agendapunt	Evenement	amsterdam_558716
4	bijlage 1 raadsadres klimaatadaptatie	https://amsterdam.notubiz.nl/document/14419936/1#search=%22klimaatadaptatie%22	24-04-2024	document	Agendapunt	amsterdam_14419936
5	458.23 Motie Moeskops c.s. Uitbreiding Dashboard Klimaatadaptatie met Activiteiten Klimaatadaptatie	https://amsterdam.notubiz.nl/document/13013315/1#search=%22klimaatadaptatie%22	20-07-2023	document	Agendapunt	amsterdam_13013315
6	458.23 Motie Moeskops c.s. Uitbreiding Dashboard Klimaatadaptatie met Activiteiten Klimaatadaptatie	https://amsterdam.notubiz.nl/document/13011567/2#search=%22klimaatadaptatie%22	19-07-2023	document	Agendapunt	amsterdam_13011567
7	Strategie Klimaatadaptatie Nr. BD2020-000649	https://amsterdam.notubiz.nl/vergadering/674193#ai_5183136	04-03-2020	Agendapunt	Evenement	amsterdam_674193
8	Bijlage.Opmerkingen Strategie Klimaatadaptatie Amsterdam V03	https://amsterdam.notubiz.nl/document/8850471/1#search=%22klimaatadaptatie%22	10-06-2020	document	Agendapunt	amsterdam_8850471
9	01 Voortgangsrapportage Klimaatadaptatie 2023.pdf	https://amsterdam.notubiz.nl/document/13525523/1#search=%22klimaatadaptatie%22	23-11-2023	document	Agendapunt	amsterdam_13525523
10	02. Voortgangsrapportage Klimaatadaptatie 2022.pdf	https://amsterdam.notubiz.nl/document/12103374/1#search=%22klimaatadaptatie%22	25-11-2022	document	Agendapunt	amsterdam_12103374
11	02. Voortgangsrapportage Klimaatadaptatie 2022.pdf	https://amsterdam.notubiz.nl/document/12198701/1#search=%22klimaatadaptatie%22	16-12-2022	document	Agendapunt	amsterdam_12198701
12	02 Voortgangsrapportage Klimaatadaptatie 2023.pdf	https://amsterdam.notubiz.nl/document/13699281/1#search=%22klimaatadaptatie%22	15-01-2024	document	Agendapunt	amsterdam_13699281
13	Kennisnemen van de Uitvoeringsagenda Klimaatadaptatie VN2021-026097	https://amsterdam.notubiz.nl/vergadering/775554#ai_6259109	06-10-2021	Agendapunt	Evenement	amsterdam_775554
14	412.22 Motie Bakker Begroting 2023 - referentienormen klimaatadaptatie	https://amsterdam.notubiz.nl/document/12067494/1#search=%22klimaatadaptatie%22	09-11-2022	document	Moties en amendementen	amsterdam_12067494
15	Kennisnemen van uitvoeringsprogramma Klimaatadaptatie (ZD2021-004667)	https://amsterdam.notubiz.nl/vergadering/858942#ai_6002728	19-05-2021	Agendapunt	Evenement	amsterdam_858942
16	raadsadres inzake Klimaatadaptatie versus herinrichting NZ Noord.pdf	https://amsterdam.notubiz.nl/document/13823266/1#search=%22klimaatadaptatie%22	19-02-2024	document	Agendapunt	amsterdam_13823266
17	00 Commissieflap inzake afdoen toezegging Klimaatadaptatie Zuidas	https://amsterdam.notubiz.nl/document/7666704/2#search=%22klimaatadaptatie%22	12-06-2019	document	Agendapunt	amsterdam_7666704
18	Kennisnemen van de voortgangsrapportage klimaatadaptatie 2022VN2023-002374	https://amsterdam.notubiz.nl/vergadering/1035804#ai_7389115	15-02-2023	Agendapunt	Evenement	amsterdam_1035804
19	Raadsbrief inzicht financiele benodigheden klimaatadaptatie def	https://amsterdam.notubiz.nl/document/14301005/1#search=%22klimaatadaptatie%22	19-06-2024	document	Berichten uit het college	amsterdam_14301005
20	Kennisnemen van de Uitvoeringsagenda Klimaatadaptatie VN2021-022954	https://amsterdam.notubiz.nl/vergadering/775550#ai_6212226	15-09-2021	Agendapunt	Evenement	amsterdam_775550
21	00 Commissieflap inzake afdoen toezegging Klimaatadaptatie Zuidas	https://amsterdam.notubiz.nl/document/7755378/1#search=%22klimaatadaptatie%22	03-07-2019	document	Agendapunt	amsterdam_7755378
22	01 RIB Voortgangsrapportage Klimaatadaptatie 2023.pdf	https://amsterdam.notubiz.nl/document/13699280/1#search=%22klimaatadaptatie%22	15-01-2024	document	Agendapunt	amsterdam_13699280
23	raadsadres inzake Klimaatadaptatie versus herinrichting NZ Noord.pdf	https://amsterdam.notubiz.nl/document/13861748/1#search=%22klimaatadaptatie%22	19-02-2024	document	Agendapunt	amsterdam_13861748
24	019.21.Motie Van Renssen c.s. Afwegingskader kelders - onderzoeken klimaatadaptatie	https://amsterdam.notubiz.nl/document/9690171/2#search=%22klimaatadaptatie%22	20-01-2021	document	Moties en amendementen	amsterdam_9690171
25	Raadsadres waterberging en wateropvang in de context met klimaatadaptatie	https://amsterdam.notubiz.nl/document/10621569/1#search=%22klimaatadaptatie%22	06-10-2021	document	Agendapunt	amsterdam_10621569
26	1.-RA 23 134 Aanbieding-onderzoeksopzet-Klimaatadaptatie-tav-gemeenteraad	https://amsterdam.notubiz.nl/document/13554792/1#search=%22klimaatadaptatie%22	30-11-2023	document	Overige dagelijkse berichten	amsterdam_13554792
27	RA 23 118 Aankondiging start voorbereiding klimaatadaptatie tav gemeenteraad	https://amsterdam.notubiz.nl/document/13274761/1#search=%22klimaatadaptatie%22	04-10-2023	document	Overige dagelijkse berichten	amsterdam_13274761
28	Toezegging met betrekking tot Klimaatadaptatie Zuidas. (BD2019-004996)	https://amsterdam.notubiz.nl/vergadering/558737#ai_4726965	12-06-2019	Agendapunt	Evenement	amsterdam_558737
29	Kennisnemen en bespreken van uitvoeringsprogramma Klimaatadaptatie Nr. VN2021-016950	https://amsterdam.notubiz.nl/vergadering/778066#ai_6095048	30-06-2021	Agendapunt	Evenement	amsterdam_778066
30	01 Brief aan de raad over Uitvoeringsagenda Klimaatadaptatie	https://amsterdam.notubiz.nl/document/10292716/1#search=%22klimaatadaptatie%22	30-06-2021	document	Agendapunt	amsterdam_10292716
31	664.20.Kennisnemen van de brief over de strategie klimaatadaptatie	https://amsterdam.notubiz.nl/document/8812804/2#search=%22klimaatadaptatie%22	10-06-2020	document	Agendapunt	amsterdam_8812804
32	664A.20.Brief voor de raad over Strategie Klimaatadaptatie	https://amsterdam.notubiz.nl/document/8812805/1#search=%22klimaatadaptatie%22	10-06-2020	document	Agendapunt	amsterdam_8812805
33	Kennisnemen van de voortgangsrapportage klimaatadaptatie 2023 (VN2023-024745)	https://amsterdam.notubiz.nl/vergadering/1179017#ai_8032332	07-12-2023	Agendapunt	Evenement	amsterdam_1179017
34	Kennisnemen van de raadsbrief beantwoording moties klimaatadaptatie (VN2023-025009)	https://amsterdam.notubiz.nl/vergadering/1179017#ai_8032334	07-12-2023	Agendapunt	Evenement	amsterdam_1179017
35	Kennisnemen van de raadsinformatiebrief over het Dashboard Klimaatadaptatie (VN2023-014037)	https://amsterdam.notubiz.nl/vergadering/1117954#ai_7649816	15-06-2023	Agendapunt	Evenement	amsterdam_1117954
36	Kennisnemen van de voortgangsrapportage klimaatadaptatie 2022 (VN2022-038254)	https://amsterdam.notubiz.nl/vergadering/1055853#ai_7205630	08-12-2022	Agendapunt	Evenement	amsterdam_1055853
37	Kennisnemen van de raadsinformatiebrief over het Dashboard Klimaatadaptatie (VN2023-012359)	https://amsterdam.notubiz.nl/vergadering/1111588#ai_7602588	25-05-2023	Agendapunt	Evenement	amsterdam_1111588
38	Kennisnemen van de voortgangsrapportage klimaatadaptatie 2022 (VN2022-043658)	https://amsterdam.notubiz.nl/vergadering/1064490#ai_7262274	12-01-2023	Agendapunt	Evenement	amsterdam_1064490
39	Voortgang van de uitvoering van de bestuursopdracht klimaatadaptatie. (BD2019-007651)	https://amsterdam.notubiz.nl/vergadering/558726#ai_5040077	11-12-2019	Agendapunt	Evenement	amsterdam_558726
