Unnamed: 0	document_name	url	date	format	type_doc	unique_id
0	amendement Klimaatadaptatie	https://barendrecht.notubiz.nl/vergadering/885367#ai_6242198	21-09-2021	Agendapunt	Evenement	barendrecht_885367
1	Inzet reserve Klimaatadaptatie	https://barendrecht.notubiz.nl/vergadering/885367#ai_6242195	21-09-2021	Agendapunt	Evenement	barendrecht_885367
2	Inzet reserve Klimaatadaptatie	https://barendrecht.notubiz.nl/vergadering/885367#ai_6212017	21-09-2021	Agendapunt	Evenement	barendrecht_885367
3	Strategie Klimaatadaptatie Barendrecht	https://barendrecht.notubiz.nl/vergadering/958739#ai_6622494	22-02-2022	Agendapunt	Evenement	barendrecht_958739
4	Concept Uitvoeringsagenda Klimaatadaptatie Barendrecht	https://barendrecht.notubiz.nl/document/11186564/1#search=%22klimaatadaptatie%22	22-02-2022	document	Agendapunt	barendrecht_11186564
5	Strategie Klimaatadaptatie Barendrecht	https://barendrecht.notubiz.nl/vergadering/958739#ai_6647885	22-02-2022	Agendapunt	Evenement	barendrecht_958739
6	Presentatie Klimaatadaptatie 12 oktober	https://barendrecht.notubiz.nl/document/10652680/1#search=%22klimaatadaptatie%22	12-10-2021	document	Agendapunt	barendrecht_10652680
7	Inzet reserve Klimaatadaptatie	https://barendrecht.notubiz.nl/vergadering/885372#ai_6191124	07-09-2021	Agendapunt	Evenement	barendrecht_885372
8	Strategie Klimaatadaptatie Barendrecht	https://barendrecht.notubiz.nl/vergadering/948174#ai_6543084	01-02-2022	Agendapunt	Evenement	barendrecht_948174
9	Concept Uitvoeringsagenda Klimaatadaptatie Barendrecht	https://barendrecht.notubiz.nl/document/11048541/1#search=%22klimaatadaptatie%22	01-02-2022	document	Agendapunt	barendrecht_11048541
10	Amendement 2021-018 Klimaatadaptatie	https://barendrecht.notubiz.nl/document/10572673/1#search=%22klimaatadaptatie%22	21-09-2021	document	Moties en Amendementen	barendrecht_10572673
11	Concept Uitvoeringsagenda Klimaatadaptatie Barendrecht	https://barendrecht.notubiz.nl/document/11282345/1#search=%22klimaatadaptatie%22	09-03-2022	document	Ingekomen stukken	barendrecht_11282345
12	B06 Ambitiedocument klimaatadaptatie De Stationstuinen	https://barendrecht.notubiz.nl/document/13592994/1#search=%22klimaatadaptatie%22	19-12-2023	document	Agendapunt	barendrecht_13592994
13	Strategie Klimaatadaptatie 2022-2026 Barendrecht	https://barendrecht.notubiz.nl/document/11186531/1#search=%22klimaatadaptatie%22	22-02-2022	document	Agendapunt	barendrecht_11186531
14	Ondertekend raadsbesluit Strategie Klimaatadaptatie Barendrecht.pdf	https://barendrecht.notubiz.nl/document/11234953/1#search=%22klimaatadaptatie%22	22-02-2022	document	Agendapunt	barendrecht_11234953
15	B04 Ambitiedocument klimaatadaptatie De Stationstuinen	https://barendrecht.notubiz.nl/document/13651508/1#search=%22klimaatadaptatie%22	20-12-2023	document	Ingekomen stukken	barendrecht_13651508
16	B06 Ambitiedocument klimaatadaptatie De Stationstuinen	https://barendrecht.notubiz.nl/document/12555845/1#search=%22klimaatadaptatie%22	04-04-2023	document	Agendapunt	barendrecht_12555845
17	Strategie Klimaatadaptatie 2022-2026 Barendrecht	https://barendrecht.notubiz.nl/document/11048551/1#search=%22klimaatadaptatie%22	01-02-2022	document	Agendapunt	barendrecht_11048551
18	Strategie Klimaatadaptatie 2022-2026 Barendrecht	https://barendrecht.notubiz.nl/document/11282357/1#search=%22klimaatadaptatie%22	09-03-2022	document	Ingekomen stukken	barendrecht_11282357
19	B06 Ambitiedocument klimaatadaptatie De Stationstuinen	https://barendrecht.notubiz.nl/document/13557744/1#search=%22klimaatadaptatie%22	28-11-2023	document	Agendapunt	barendrecht_13557744
20	Schriftelijke vragen VVD over energietransitie en klimaatadaptatie	https://barendrecht.notubiz.nl/document/12419927/1#search=%22klimaatadaptatie%22	13-02-2023	document	Schriftelijke vragen	barendrecht_12419927
21	Schriftelijke vragen GL over uitvoering van klimaatadaptatie en energietransitie	https://barendrecht.notubiz.nl/document/12450707/1#search=%22klimaatadaptatie%22	23-02-2023	document	Schriftelijke vragen	barendrecht_12450707
22	574506 Brief college inzake Samenwerkingsovereenkomst Klimaatadaptatie en Impulsregeling	https://barendrecht.notubiz.nl/document/12134267/1#search=%22klimaatadaptatie%22	02-12-2022	document	Ingekomen stukken	barendrecht_12134267
23	574506 Brief college inzake Samenwerkingsovereenkomst Klimaatadaptatie en Impulsregeling	https://barendrecht.notubiz.nl/modules/1/Ingekomen%20stukken/799303	02-12-2022	0	0	barendrecht_1
24	Schriftelijke vragen VVD over energietransitie en klimaatadaptatie	https://barendrecht.notubiz.nl/modules/4/Schriftelijke%20vragen/821521	13-02-2023	0	0	barendrecht_4
25	Schriftelijke vragen GL over uitvoering van klimaatadaptatie en energietransitie	https://barendrecht.notubiz.nl/modules/4/Schriftelijke%20vragen/823824	23-02-2023	0	0	barendrecht_4
26	Amendement 2021-018 Klimaatadaptatie	https://barendrecht.notubiz.nl/modules/6/Moties%20en%20Amendementen/697606	21-09-2021	0	0	barendrecht_6
27	Brief wethouder De Jonge inzake beantwoording vragen fractie EVB reserve Klimaatadaptatie.pdf	https://barendrecht.notubiz.nl/document/10510734/1#search=%22klimaatadaptatie%22	21-09-2021	document	Agendapunt	barendrecht_10510734
28	Brief wethouder De Jonge inzake beantwoording vragen fractie EVB reserve Klimaatadaptatie.pdf	https://barendrecht.notubiz.nl/document/10507766/1#search=%22klimaatadaptatie%22	07-09-2021	document	Agendapunt	barendrecht_10507766
29	Besluit (1)	https://barendrecht.notubiz.nl/document/11237492/1#search=%22klimaatadaptatie%22	22-02-2022	document	Agendapunt	barendrecht_11237492
30	Technische vragen fractie EVB Inzet Reserve Klimaatadaptatie.pdf	https://barendrecht.notubiz.nl/document/10510735/1#search=%22klimaatadaptatie%22	21-09-2021	document	Agendapunt	barendrecht_10510735
31	Technische vragen fractie EVB Inzet Reserve Klimaatadaptatie.pdf	https://barendrecht.notubiz.nl/document/10496669/1#search=%22klimaatadaptatie%22	07-09-2021	document	Agendapunt	barendrecht_10496669
32	Besteding reserve Klimaatadaptatie.pdf	https://barendrecht.notubiz.nl/document/10510736/1#search=%22klimaatadaptatie%22	21-09-2021	document	Agendapunt	barendrecht_10510736
33	Besteding reserve Klimaatadaptatie.pdf	https://barendrecht.notubiz.nl/document/10472087/1#search=%22klimaatadaptatie%22	07-09-2021	document	Agendapunt	barendrecht_10472087
34	Amendement 2021-018 Klimaatadaptatie.pdf	https://barendrecht.notubiz.nl/document/10571984/1#search=%22klimaatadaptatie%22	21-09-2021	document	Agendapunt	barendrecht_10571984
35	189180 brief wethouder De Jonge inzake tussenbericht vervolgvragen EVB windturbines en geluidsnormen	https://barendrecht.notubiz.nl/document/9021096/1#search=%22klimaatadaptatie%22	20-07-2020	document	Schriftelijke vragen	barendrecht_9021096
36	Ondertekend raadsbesluit Inzet reserve Klimaatadaptatie.pdf	https://barendrecht.notubiz.nl/document/10571980/1#search=%22klimaatadaptatie%22	21-09-2021	document	Agendapunt	barendrecht_10571980
37	Besluit	https://barendrecht.notubiz.nl/document/10572158/1#search=%22klimaatadaptatie%22	21-09-2021	document	Agendapunt	barendrecht_10572158
38	Brief Vereniging Dorpskern Oud Barendrecht aan de gemeenteraad	https://barendrecht.notubiz.nl/document/14355690/1#search=%22klimaatadaptatie%22	02-07-2024	document	Ingekomen stukken	barendrecht_14355690
39	Brief Vereniging Dorpskern Oud Barendrecht aan de gemeenteraad	https://barendrecht.notubiz.nl/document/14354220/1#search=%22klimaatadaptatie%22	09-07-2024	document	Agendapunt	barendrecht_14354220
40	734940 Antwoordbrief wethouder van der Linden over schriftelijke vragen GL Energietransitie	https://barendrecht.notubiz.nl/document/12457646/2#search=%22klimaatadaptatie%22	23-02-2023	document	Schriftelijke vragen	barendrecht_12457646
41	2023-021001 Antwoordbrief Vermaat over groene parkeerplaatsen	https://barendrecht.notubiz.nl/document/13163062/1#search=%22klimaatadaptatie%22	06-09-2023	document	Schriftelijke vragen	barendrecht_13163062
42	468912 RIB Jaarmonitor programma Klimaatopgave	https://barendrecht.notubiz.nl/document/11282281/1#search=%22klimaatadaptatie%22	09-03-2022	document	Ingekomen stukken	barendrecht_11282281
43	Besluit	https://barendrecht.notubiz.nl/document/10510727/1#search=%22klimaatadaptatie%22	07-09-2021	document	Agendapunt	barendrecht_10510727
44	Bijlage C Beleidsregel Duurzaamheid De Stationstuinen	https://barendrecht.notubiz.nl/document/13593032/1#search=%22klimaatadaptatie%22	19-12-2023	document	Agendapunt	barendrecht_13593032
45	advies commissie Ruimte 1 februari 2022.pdf	https://barendrecht.notubiz.nl/document/11186602/1#search=%22klimaatadaptatie%22	22-02-2022	document	Agendapunt	barendrecht_11186602
46	advies commissie Ruimte 1 februari 2022.pdf	https://barendrecht.notubiz.nl/document/11186517/1#search=%22klimaatadaptatie%22	22-02-2022	document	Agendapunt	barendrecht_11186517
47	advies commissie Ruimte 1 februari 2022.pdf	https://barendrecht.notubiz.nl/document/11186546/1#search=%22klimaatadaptatie%22	22-02-2022	document	Agendapunt	barendrecht_11186546
48	Ondertekend raadsbesluit Raadsvoorstel Financiën centrumaanpak	https://barendrecht.notubiz.nl/document/13226348/1#search=%22klimaatadaptatie%22	26-09-2023	document	Agendapunt	barendrecht_13226348
