Unnamed: 0	document_name	url	date	format	type_doc	unique_id
0	VNG ledenbrief bestuursakkoord klimaatadaptatie en aanvullende bestuurlijke afspraken water	https://beverwijk.notubiz.nl/document/7378957/1#search=%22klimaatadaptatie%22	28-02-2019	document	Agendapunt	beverwijk_7378957
1	INT-21-59119 Rvs Klimaatadaptatieplan 2021-2026	https://beverwijk.notubiz.nl/document/10077653/1#search=%22klimaatadaptatie%22	29-04-2021	document	Agendapunt	beverwijk_10077653
2	INT-21-59119 Rvs Klimaatadaptatieplan 2021-2026	https://beverwijk.notubiz.nl/document/10022193/1#search=%22klimaatadaptatie%22	15-04-2021	document	Agendapunt	beverwijk_10022193
3	Concept202022%20augustus	https://beverwijk.notubiz.nl/document/11821593/1#search=%22klimaatadaptatie%22	12-09-2022	document	Agendapunt	beverwijk_11821593
4	D-107918 Afweegkader Verkeerscirculatieplan Beverwijk	https://beverwijk.notubiz.nl/document/13610598/1#search=%22klimaatadaptatie%22	07-12-2023	document	Agendapunt	beverwijk_13610598
5	D-124961 Raadsmemo Portefeuillehouderverdeling Burgemeester en Wethouders per 2 juli 2024	https://beverwijk.notubiz.nl/document/14387473/1#search=%22klimaatadaptatie%22	11-07-2024	document	Agendapunt	beverwijk_14387473
6	D-107918 Afweegkader Verkeerscirculatieplan Beverwijk	https://beverwijk.notubiz.nl/document/13586713/1#search=%22klimaatadaptatie%22	07-12-2023	document	Agendapunt	beverwijk_13586713
7	D-119068 Raadsmemo Gewijzigde portefeuilleverdeling per 2-4-2024	https://beverwijk.notubiz.nl/document/14092975/1#search=%22klimaatadaptatie%22	25-04-2024	document	Agendapunt	beverwijk_14092975
8	D-107918 Afweegkader Verkeerscirculatieplan Beverwijk	https://beverwijk.notubiz.nl/document/13690369/1#search=%22klimaatadaptatie%22	11-01-2024	document	Agendapunt	beverwijk_13690369
9	Mededelingen en ingekomen stukken.	https://beverwijk.notubiz.nl/vergadering/565036#ai_4558492	28-02-2019	Agendapunt	Evenement	beverwijk_565036
10	20190228 mededelingen en ingekomen stukken	https://beverwijk.notubiz.nl/document/7378945/1#search=%22klimaatadaptatie%22	28-02-2019	document	Agendapunt	beverwijk_7378945
11	Y D-084311 Brief van de MRA inzake stand van zaken uitvoering MRA Agenda	https://beverwijk.notubiz.nl/document/11979068/1#search=%22klimaatadaptatie%22	27-10-2022	document	Agendapunt	beverwijk_11979068
12	INT-21-60296 Raadsvoorstel verstedelijkingstrategie MRA, versie 2	https://beverwijk.notubiz.nl/document/10354964/1#search=%22klimaatadaptatie%22	01-07-2021	document	Agendapunt	beverwijk_10354964
13	INT-21-60296 Raadsvoorstel verstedelijkingstrategie MRA, versie 2	https://beverwijk.notubiz.nl/document/10331302/1#search=%22klimaatadaptatie%22	29-06-2021	document	Agendapunt	beverwijk_10331302
14	D-095511 Raadsmemo inzake toezeggingen RVS water en rioleringsprogramma 2023-20227	https://beverwijk.notubiz.nl/document/12603392/1#search=%22klimaatadaptatie%22	06-04-2023	document	Agendapunt	beverwijk_12603392
