Unnamed: 0	document_name	url	date	format	type_doc	unique_id
0	3. Groen: Biodiversiteit én klimaatadaptatie	https://capelleaandenijssel.notubiz.nl/vergadering/1145728#ai_8097274	12-12-2023	Agendapunt	Evenement	capelleaandenijssel_1145728
1	05J.03 - Weerkrachtig Capelle - aangepast	https://capelleaandenijssel.notubiz.nl/document/11219897/2#search=%22klimaatadaptatie%22	07-03-2022	document	Agendapunt	capelleaandenijssel_11219897
2	07 03 - Weerkrachtig Capelle incl fotobladen	https://capelleaandenijssel.notubiz.nl/document/11199106/1#search=%22klimaatadaptatie%22	15-02-2022	document	Agendapunt	capelleaandenijssel_11199106
3	2023.01.17 Presentatie eerste Werkatelier Gemeenteraad op 24 januari 2023	https://capelleaandenijssel.notubiz.nl/document/12333813/1#search=%22klimaatadaptatie%22	24-01-2023	document	Agendapunt	capelleaandenijssel_12333813
4	Infographic Koersdocument Duurzaam Capelle	https://capelleaandenijssel.notubiz.nl/document/6136987/1#search=%22klimaatadaptatie%22	05-02-2018	document	Agendapunt	capelleaandenijssel_6136987
5	Infografic naar een duurzaam Capelle in 2050	https://capelleaandenijssel.notubiz.nl/document/5640547/1#search=%22klimaatadaptatie%22	11-09-2017	document	Agendapunt	capelleaandenijssel_5640547
6	Infographic Koersdocument Duurzaam Capelle	https://capelleaandenijssel.notubiz.nl/document/6085920/1#search=%22klimaatadaptatie%22	22-01-2018	document	Agendapunt	capelleaandenijssel_6085920
7	17.07 - Technische Vraag D66 en antwoord duurzaamheidsleidraad	https://capelleaandenijssel.notubiz.nl/document/14175444/2#search=%22klimaatadaptatie%22	27-05-2024	document	Agendapunt	capelleaandenijssel_14175444
8	03.05 Technische Vraag D66 en antwoord duurzaamheidsleidraad	https://capelleaandenijssel.notubiz.nl/document/14081472/1#search=%22klimaatadaptatie%22	24-04-2024	document	Agendapunt	capelleaandenijssel_14081472
9	20200603 MPD presentatie thema avond duurzaamheid	https://capelleaandenijssel.notubiz.nl/document/8812253/1#search=%22klimaatadaptatie%22	03-06-2020	document	Agendapunt	capelleaandenijssel_8812253
10	Antwoordbrief beantwoording vragen ex art 44 RvO inzake duurzaamheidsraad	https://capelleaandenijssel.notubiz.nl/document/14374824/1#search=%22klimaatadaptatie%22	03-06-2024	document	Schriftelijke vragen	capelleaandenijssel_14374824
11	Vragen ex art 38 RvO inzake Duurzaamheidsleidraad in grote lopende gebiedsontwikkelingen (CU)	https://capelleaandenijssel.notubiz.nl/document/14241470/2#search=%22klimaatadaptatie%22	03-06-2024	document	Schriftelijke vragen	capelleaandenijssel_14241470
12	Presentatie Thema-avond Wonen- Kopie	https://capelleaandenijssel.notubiz.nl/document/12536103/1#search=%22klimaatadaptatie%22	21-03-2023	document	Agendapunt	capelleaandenijssel_12536103
13	01.01. Programma Werkatelier duurzaamheidsleidraad	https://capelleaandenijssel.notubiz.nl/document/13606060/1#search=%22klimaatadaptatie%22	12-12-2023	document	Agendapunt	capelleaandenijssel_13606060
14	557463.03 - Collegebrief ter beantwoording van toezegging 21051	https://capelleaandenijssel.notubiz.nl/document/10505717/1#search=%22klimaatadaptatie%22	15-09-2021	document	Agendapunt	capelleaandenijssel_10505717
15	programma werkatelier duurzaamheid (oorspronkelijk 9 januari)	https://capelleaandenijssel.notubiz.nl/document/12333802/1#search=%22klimaatadaptatie%22	24-01-2023	document	Agendapunt	capelleaandenijssel_12333802
16	17.02 - BBV Duurzaamheidsleidraad voor Bouwen	https://capelleaandenijssel.notubiz.nl/document/14167743/1#search=%22klimaatadaptatie%22	27-05-2024	document	Agendapunt	capelleaandenijssel_14167743
17	03.02 - BBV Duurzaamheidsleidraad voor Bouwen	https://capelleaandenijssel.notubiz.nl/document/14049707/1#search=%22klimaatadaptatie%22	24-04-2024	document	Agendapunt	capelleaandenijssel_14049707
18	17.01 - Vastgesteld raadsvoorstel en -besluit Duurzaamheidsleidraad voor Bouwen - gewijzigde versie	https://capelleaandenijssel.notubiz.nl/document/14191916/2#search=%22klimaatadaptatie%22	27-05-2024	document	Agendapunt	capelleaandenijssel_14191916
19	17.01 - Raadsvoorstel en -besluit Duurzaamheidsleidraad voor Bouwen	https://capelleaandenijssel.notubiz.nl/document/14167742/1#search=%22klimaatadaptatie%22	27-05-2024	document	Agendapunt	capelleaandenijssel_14167742
20	03.01 - Raadsvoorstel en -besluit Duurzaamheidsleidraad voor Bouwen	https://capelleaandenijssel.notubiz.nl/document/14049706/1#search=%22klimaatadaptatie%22	24-04-2024	document	Agendapunt	capelleaandenijssel_14049706
21	2020.04.28 Agenda Thema-avond Duurzaamheid 3 juni 2020	https://capelleaandenijssel.notubiz.nl/document/8812901/1#search=%22klimaatadaptatie%22	03-06-2020	document	Agendapunt	capelleaandenijssel_8812901
22	08.01 - Raadsvoorstel -besluit Weerkrachtig Capelle	https://capelleaandenijssel.notubiz.nl/document/11143287/2#search=%22klimaatadaptatie%22	14-02-2022	document	Agendapunt	capelleaandenijssel_11143287
