Unnamed: 0	document_name	url	date	format	type_doc	unique_id
0	Uitvoeringsagenda Klimaatadaptatie versie DEF	https://delft.notubiz.nl/document/14398408/1#search=%22klimaatadaptatie%22	12-07-2024	document	Ingekomen stukken	delft_14398408
1	2048916 College van B en W - update uitvoeringsagenda Klimaatadaptatie	https://delft.notubiz.nl/document/9713093/1#search=%22klimaatadaptatie%22	16-05-2019	document	Toezeggingen	delft_9713093
2	College van B&W – update uitvoeringsagenda Klimaatadaptatie (nr. 2048916)	https://delft.notubiz.nl/vergadering/758450#ai_5819806	11-02-2021	Agendapunt	OVERLEGVERGADERING	delft_758450
3	College van B&W – update uitvoeringsagenda Klimaatadaptatie (nr. 2048916)	https://delft.notubiz.nl/vergadering/832089#ai_5837802	16-02-2021	Agendapunt	Heropening/mededelingen	delft_832089
4	Motie maak klimaatadaptatie concreet - STIP, GrL, D66, PvdA, CDA (aangenomen)	https://delft.notubiz.nl/document/8751907/1#search=%22klimaatadaptatie%22	16-05-2019	document	Agendapunt	delft_8751907
5	College van B&W – update uitvoeringsagenda Klimaatadaptatie (nr. 2048916)	https://delft.notubiz.nl/vergadering/758449#ai_5759253	14-01-2021	Agendapunt	PROCEDUREVERGADERING	delft_758449
6	2048916 College van B en W - update uitvoeringsagenda Klimaatadaptatie	https://delft.notubiz.nl/document/9478513/1#search=%22klimaatadaptatie%22	27-11-2020	document	Ingekomen stukken	delft_9478513
7	College van B&W – afdoening motie inzake maak klimaatadaptatie concreet (nr. 1928579)	https://delft.notubiz.nl/vergadering/755475#ai_5419740	10-09-2019	Agendapunt	Evenement	delft_755475
8	1928579 College van B en W - afdoening motie inzake maak klimaatadaptatie concreet	https://delft.notubiz.nl/document/8957199/1#search=%22klimaatadaptatie%22	10-09-2019	document	Agendapunt	delft_8957199
9	2344702 College van B&W - overzicht beleid en plannen water, groen, natuur en klimaatadaptatie	https://delft.notubiz.nl/document/13436334/1#search=%22klimaatadaptatie%22	03-11-2023	document	Ingekomen stukken	delft_13436334
10	1905052 VNG - ledenbrief inzake bestuursakkoord klimaatadaptatie en aanvullende bestuurlijke afspraken water	https://delft.notubiz.nl/document/8870456/1#search=%22klimaatadaptatie%22	28-01-2019	document	Ingekomen stukken	delft_8870456
