Unnamed: 0	document_name	url	date	format	type_doc	unique_id
0	Bijlage Bestuursakkoord klimaatadaptatie	https://dordrecht.notubiz.nl/document/7322904/1#search=%22klimaatadaptatie%22	12-02-2019	document	Agendapunt	dordrecht_7322904
1	Bijlage 4 Klimaatadaptatie	https://dordrecht.notubiz.nl/document/10272246/1#search=%22klimaatadaptatie%22	15-06-2021	document	Agendapunt	dordrecht_10272246
2	Agenderingsverzoek workshop scenario's klimaatadaptatie	https://dordrecht.notubiz.nl/vergadering/612277#ai_5066577	10-12-2019	Agendapunt	Evenement	dordrecht_612277
3	Agenderingsverzoek workshop scenario's klimaatadaptatie	https://dordrecht.notubiz.nl/document/8280303/1#search=%22klimaatadaptatie%22	10-12-2019	document	Agendapunt	dordrecht_8280303
4	Raadsinformatiebrief Resultaten Groenblauwe visie en risicodialoog klimaatadaptatie	https://dordrecht.notubiz.nl/document/9270744/1#search=%22klimaatadaptatie%22	13-10-2020	document	Agendapunt	dordrecht_9270744
5	Informatiesessie maatschappelijke opgaven Klimaatadaptatie met o.a. Waterschap Hollandse Delta	https://dordrecht.notubiz.nl/vergadering/606131#ai_4527007	12-02-2019	Agendapunt	Evenement	dordrecht_606131
6	20190128 VNG ledenbrief bestuursakkoord-klimaatadaptatie-en-aanvullende-bestuurlijke-afspraken-water	https://dordrecht.notubiz.nl/document/7322903/1#search=%22klimaatadaptatie%22	12-02-2019	document	Agendapunt	dordrecht_7322903
7	Raadsinformatiebrief over Resultaten Groenblauwe visie en risicodialoog klimaatadaptatie	https://dordrecht.notubiz.nl/vergadering/701419#ai_5579815	13-10-2020	Agendapunt	Evenement	dordrecht_701419
8	Voorblad Raadsinformatiebrief Resultaten Groenblauwe visie en risicodialoog klimaatadaptatie	https://dordrecht.notubiz.nl/document/9270745/1#search=%22klimaatadaptatie%22	13-10-2020	document	Agendapunt	dordrecht_9270745
9	Voorblad Informatiesessie maatschappelijke opgaven Klimaatadaptatie met o a Waterschap Hollandse Delta	https://dordrecht.notubiz.nl/document/7322902/1#search=%22klimaatadaptatie%22	12-02-2019	document	Agendapunt	dordrecht_7322902
10	4 181127 S d Stad - presentatie tbv Stadskantoor + Spuiboulevard	https://dordrecht.notubiz.nl/document/7175600/1#search=%22klimaatadaptatie%22	18-12-2018	document	Agendapunt	dordrecht_7175600
11	4 181127 S d Stad - presentatie tbv Stadskantoor + Spuiboulevard	https://dordrecht.notubiz.nl/document/7175610/1#search=%22klimaatadaptatie%22	18-12-2018	document	Agendapunt	dordrecht_7175610
12	4 181127 S d Stad - presentatie tbv Stadskantoor + Spuiboulevard	https://dordrecht.notubiz.nl/document/7146224/1#search=%22klimaatadaptatie%22	11-12-2018	document	Agendapunt	dordrecht_7146224
13	4 181127 S d Stad - presentatie tbv Stadskantoor + Spuiboulevard	https://dordrecht.notubiz.nl/document/7146232/1#search=%22klimaatadaptatie%22	11-12-2018	document	Agendapunt	dordrecht_7146232
14	4 181127 S d Stad - presentatie tbv Stadskantoor + Spuiboulevard	https://dordrecht.notubiz.nl/document/7145992/2#search=%22klimaatadaptatie%22	11-12-2018	document	Agendapunt	dordrecht_7145992
15	4 181127 S d Stad - presentatie tbv Stadskantoor + Spuiboulevard (1)	https://dordrecht.notubiz.nl/document/7146023/1#search=%22klimaatadaptatie%22	11-12-2018	document	Agendapunt	dordrecht_7146023
16	Artikel 40 vragen Reglement van Orde van de fractie GroenLinks over Groene daken	https://dordrecht.notubiz.nl/document/8662947/1#search=%22klimaatadaptatie%22	21-04-2020	document	Agendapunt	dordrecht_8662947
17	Presentatie Opgave GrroenBlauwe Stad beeldvormenderaadscommissie 28032023 definitief	https://dordrecht.notubiz.nl/document/12608641/1#search=%22klimaatadaptatie%22	11-04-2023	document	Agendapunt	dordrecht_12608641
18	Bijlage 1 - CR005 presentatie stedenbouwkundige verkenning 230823- gekleurd	https://dordrecht.notubiz.nl/document/13636119/1#search=%22klimaatadaptatie%22	19-12-2023	document	Agendapunt	dordrecht_13636119
19	Ontwerp besluit Raad 2016 Addendum GRP en Wateroverlast	https://dordrecht.notubiz.nl/document/4753029/1#search=%22klimaatadaptatie%22	20-12-2016	document	Agendapunt	dordrecht_4753029
20	B&W besluit 1709181	https://dordrecht.notubiz.nl/document/4753028/1#search=%22klimaatadaptatie%22	20-12-2016	document	Agendapunt	dordrecht_4753028
21	B&W besluit 1709181	https://dordrecht.notubiz.nl/document/4648826/1#search=%22klimaatadaptatie%22	29-11-2016	document	Agendapunt	dordrecht_4648826
22	Ontwerp besluit Raad 2016 Addendum GRP en Wateroverlast	https://dordrecht.notubiz.nl/document/4648827/1#search=%22klimaatadaptatie%22	29-11-2016	document	Agendapunt	dordrecht_4648827
23	Bestuurlijke planner actualisatie mei 2020 - FYSIEKE LEEFOMGEVING	https://dordrecht.notubiz.nl/document/8921957/1#search=%22klimaatadaptatie%22	24-06-2020	document	Agendapunt	dordrecht_8921957
24	Raadsinformatiebrief over Beantwoorden motie M15 - Senioren willen ook wonen	https://dordrecht.notubiz.nl/vergadering/701419#ai_5579822	13-10-2020	Agendapunt	Evenement	dordrecht_701419
25	210603 Termijnagenda commissie Fysieke Leefomgeving	https://dordrecht.notubiz.nl/document/10242413/1#search=%22klimaatadaptatie%22	08-06-2021	document	Agendapunt	dordrecht_10242413
26	210609 Termijnagenda commissie Fysieke Leefomgeving	https://dordrecht.notubiz.nl/document/10272342/1#search=%22klimaatadaptatie%22	15-06-2021	document	Agendapunt	dordrecht_10272342
27	Erfgoedpamflet – Gemeenteraads verkiezingen 2022	https://dordrecht.notubiz.nl/document/11402178/1#search=%22klimaatadaptatie%22	12-04-2022	document	Agendapunt	dordrecht_11402178
28	211124 Termijnagenda commissie Fysieke Leefomgeving	https://dordrecht.notubiz.nl/document/10862431/1#search=%22klimaatadaptatie%22	30-11-2021	document	Agendapunt	dordrecht_10862431
29	210616 Termijnagenda commissie Fysieke Leefomgeving	https://dordrecht.notubiz.nl/document/10343251/1#search=%22klimaatadaptatie%22	29-06-2021	document	Agendapunt	dordrecht_10343251
30	211117 Termijnagenda commissie Fysieke Leefomgeving	https://dordrecht.notubiz.nl/document/10829496/1#search=%22klimaatadaptatie%22	23-11-2021	document	Agendapunt	dordrecht_10829496
31	Bijlage 3a Bouwstenen transitiepad Mobiliteit	https://dordrecht.notubiz.nl/document/12632454/1#search=%22klimaatadaptatie%22	18-04-2023	document	Agendapunt	dordrecht_12632454
32	Presentatie Regionale Groeiagenda Smart Delta Drechtsteden Beeldvormend Raad - 3 okt 2023	https://dordrecht.notubiz.nl/document/13308906/1#search=%22klimaatadaptatie%22	10-10-2023	document	Agendapunt	dordrecht_13308906
33	Presentatie Regionale Groeiagenda Smart Delta Drechtsteden Beeldvormend Raad - 3 okt 2023	https://dordrecht.notubiz.nl/document/13260321/1#search=%22klimaatadaptatie%22	03-10-2023	document	Agendapunt	dordrecht_13260321
34	Raadsinformatiebrief 2532777 - Ontwerpbestemmingsplan Vlijweide, Scholenlocatie Noordendijk	https://dordrecht.notubiz.nl/document/9561294/1#search=%22klimaatadaptatie%22	15-12-2020	document	Agendapunt	dordrecht_9561294
35	ONGETEKENDE RIB (7)	https://dordrecht.notubiz.nl/document/9561297/1#search=%22klimaatadaptatie%22	15-12-2020	document	Agendapunt	dordrecht_9561297
36	Bestuurlijke planner november 2020 - COMMISSIE FYSIEK	https://dordrecht.notubiz.nl/document/9561648/1#search=%22klimaatadaptatie%22	15-12-2020	document	Agendapunt	dordrecht_9561648
37	Bouwstenen thema Mobiliteit 9 juni 2023	https://dordrecht.notubiz.nl/document/13447157/1#search=%22klimaatadaptatie%22	07-11-2023	document	Agendapunt	dordrecht_13447157
38	Bestuurlijke planner november 2020 - COMMISSIE FYSIEK	https://dordrecht.notubiz.nl/document/9530309/1#search=%22klimaatadaptatie%22	08-12-2020	document	Agendapunt	dordrecht_9530309
39	Initiatiefvoorstel monumentenstatus voor het Dordtse Poldergebied	https://dordrecht.notubiz.nl/vergadering/955076#ai_6606889	08-02-2022	Agendapunt	Evenement	dordrecht_955076
40	Bouwstenen thema Mobiliteit 9 juni 2023	https://dordrecht.notubiz.nl/document/13358976/1#search=%22klimaatadaptatie%22	24-10-2023	document	Agendapunt	dordrecht_13358976
41	Bouwstenen thema Mobiliteit 9 juni 2023	https://dordrecht.notubiz.nl/document/13260155/1#search=%22klimaatadaptatie%22	03-10-2023	document	Agendapunt	dordrecht_13260155
42	Bouwstenen thema Mobiliteit 9 juni 2023	https://dordrecht.notubiz.nl/document/13114953/1#search=%22klimaatadaptatie%22	12-09-2023	document	Agendapunt	dordrecht_13114953
43	Bestuurlijke planner november 2020 - COMMISSIE FYSIEK	https://dordrecht.notubiz.nl/document/9568557/1#search=%22klimaatadaptatie%22	16-12-2020	document	Agendapunt	dordrecht_9568557
44	Uitvoeren BEGIN-project, benutten subsidie vanuit het programma Interreg VB, t l v dit project de begroting dienovereenkomstig te wijzigen	https://dordrecht.notubiz.nl/document/5456493/1#search=%22klimaatadaptatie%22	20-06-2017	document	Agendapunt	dordrecht_5456493
45	220209 Overdracht commissie Fysiek aan de nieuwe raad	https://dordrecht.notubiz.nl/document/11199257/1#search=%22klimaatadaptatie%22	15-02-2022	document	Agendapunt	dordrecht_11199257
46	Bijlage 1 - Pres PVA Omgevingsplan Raadswerkgroep 14-6-2022	https://dordrecht.notubiz.nl/document/11589509/1#search=%22klimaatadaptatie%22	14-06-2022	document	Agendapunt	dordrecht_11589509
47	Presentatie opgave mbt kabels en leidingen Commissie nav motie 22 d d 15 januari 20 (1)	https://dordrecht.notubiz.nl/document/8355866/1#search=%22klimaatadaptatie%22	15-01-2020	document	Agendapunt	dordrecht_8355866
48	Bestuurlijke planner actualisatie 30 06 21 - FYSIEK (1)	https://dordrecht.notubiz.nl/document/10482678/1#search=%22klimaatadaptatie%22	31-08-2021	document	Agendapunt	dordrecht_10482678
49	Bestuurlijke planner actualisatie 30 06 21 - FYSIEK	https://dordrecht.notubiz.nl/document/10482681/1#search=%22klimaatadaptatie%22	31-08-2021	document	Agendapunt	dordrecht_10482681
50	Voorblad Kennis nemen van indienen projectvoorstel DeltaLife	https://dordrecht.notubiz.nl/document/609583/1#search=%22klimaatadaptatie%22	30-10-2012	document	Agendapunt	dordrecht_609583
51	Antwoordbrief artikel 40-vragen GroenLinks Groene Wanden	https://dordrecht.notubiz.nl/document/11773998/1#search=%22klimaatadaptatie%22	30-08-2022	document	Agendapunt	dordrecht_11773998
52	Bestuurlijke planner actualisatie 30 06 21 - FYSIEK	https://dordrecht.notubiz.nl/document/10537003/1#search=%22klimaatadaptatie%22	14-09-2021	document	Agendapunt	dordrecht_10537003
