Unnamed: 0	document_name	url	date	format	type_doc	unique_id
0	Impulsregeling klimaatadaptatie	https://krimpenaandenijssel.notubiz.nl/vergadering/876818#ai_6119204	29-06-2021	Agendapunt	Evenement	krimpenaandenijssel_876818
1	Collegevoorstel Impulsregeling klimaatadaptatie	https://krimpenaandenijssel.notubiz.nl/document/10328481/1#search=%22klimaatadaptatie%22	29-06-2021	document	Agendapunt	krimpenaandenijssel_10328481
2	Raadsinformatiebrief Impulsregeling klimaatadaptatie 2021-2027	https://krimpenaandenijssel.notubiz.nl/document/10328482/2#search=%22klimaatadaptatie%22	29-06-2021	document	Agendapunt	krimpenaandenijssel_10328482
3	Bijlage 3 concept Factsheet Klimaatadaptatie	https://krimpenaandenijssel.notubiz.nl/document/9579598/1#search=%22klimaatadaptatie%22	07-01-2021	document	Agendapunt	krimpenaandenijssel_9579598
4	2019-09-11 RIB Klimaatadaptatie strategie	https://krimpenaandenijssel.notubiz.nl/document/7945505/1#search=%22klimaatadaptatie%22	11-09-2019	document	Ingekomen stukken	krimpenaandenijssel_7945505
5	2019-01-28 VNG Bijlage bestuursakkoord klimaatadaptatie	https://krimpenaandenijssel.notubiz.nl/document/7277690/1#search=%22klimaatadaptatie%22	29-01-2019	document	Ingekomen stukken	krimpenaandenijssel_7277690
6	Risico-dialoog klimaatadaptatie Krimpen aan den IJssel	https://krimpenaandenijssel.notubiz.nl/vergadering/804260#ai_5688263	01-12-2020	Agendapunt	Evenement	krimpenaandenijssel_804260
7	2020-12-02 RIB Uitkomsten risicodialoog Klimaatadaptatie	https://krimpenaandenijssel.notubiz.nl/document/9500033/1#search=%22klimaatadaptatie%22	02-12-2020	document	Ingekomen stukken	krimpenaandenijssel_9500033
8	BOT over klimaatadaptatie en risico-dialoog (met externen)	https://krimpenaandenijssel.notubiz.nl/vergadering/639973	14-11-2019	0	0	krimpenaandenijssel_639973
9	Collegevoorstel risico dialoog klimaatadaptatie Krimpen aan den IJssel 2	https://krimpenaandenijssel.notubiz.nl/document/9480468/1#search=%22klimaatadaptatie%22	01-12-2020	document	Agendapunt	krimpenaandenijssel_9480468
10	Raadsinformatiebrief Risico dialoog klimaatadaptatie Krimpen aan den IJssel	https://krimpenaandenijssel.notubiz.nl/document/9479877/2#search=%22klimaatadaptatie%22	01-12-2020	document	Agendapunt	krimpenaandenijssel_9479877
11	bijlage 1. Risicodialoog Klimaatadaptatie Krimpen aan den IJssel def	https://krimpenaandenijssel.notubiz.nl/document/9479886/2#search=%22klimaatadaptatie%22	01-12-2020	document	Agendapunt	krimpenaandenijssel_9479886
12	2019-09-11 RIB Klimaatadaptatie bijlage basisrioleringsplan en stresstest wateroverlast KadIJ	https://krimpenaandenijssel.notubiz.nl/document/7945527/1#search=%22klimaatadaptatie%22	11-09-2019	document	Ingekomen stukken	krimpenaandenijssel_7945527
13	2019-09-11 RIB Klimaatadaptatie bijlage over beleid, strategie en uitvoering	https://krimpenaandenijssel.notubiz.nl/document/7945532/1#search=%22klimaatadaptatie%22	11-09-2019	document	Ingekomen stukken	krimpenaandenijssel_7945532
14	Vaststellen afschrijvingstermijnen voor herstraten Oud Krimpen en klimaatadaptatie rvs en besluit aangepast na BVB commissie	https://krimpenaandenijssel.notubiz.nl/document/7604266/1#search=%22klimaatadaptatie%22	21-05-2019	document	Agendapunt	krimpenaandenijssel_7604266
15	2019-01-28 VNG ledenbrief bestuursakkoord-klimaatadaptatie-en-aanvullende-bestuurlijke-afspraken-water	https://krimpenaandenijssel.notubiz.nl/document/7277688/1#search=%22klimaatadaptatie%22	29-01-2019	document	Ingekomen stukken	krimpenaandenijssel_7277688
16	2020-12-02 Bijlage 1 Risicodialoog Klimaatadaptatie Krimpen aan den IJssel def	https://krimpenaandenijssel.notubiz.nl/document/9500036/1#search=%22klimaatadaptatie%22	02-12-2020	document	Ingekomen stukken	krimpenaandenijssel_9500036
17	RIB Klimaatadaptatie strategie	https://krimpenaandenijssel.notubiz.nl/modules/1/Ingekomen%20stukken/533057	11-09-2019	0	0	krimpenaandenijssel_1
18	VNG_Ledenbrief-stikstof	https://krimpenaandenijssel.notubiz.nl/modules/1/Ingekomen%20stukken/770041	25-07-2022	0	0	krimpenaandenijssel_1
19	RIB Uitkomsten risicodialoog Klimaatadaptatie	https://krimpenaandenijssel.notubiz.nl/modules/1/Ingekomen%20stukken/632957	02-12-2020	0	0	krimpenaandenijssel_1
20	Gemeente Oldenbroek Motie over Stikstofaanpak	https://krimpenaandenijssel.notubiz.nl/modules/1/Ingekomen%20stukken/770323	27-07-2022	0	0	krimpenaandenijssel_1
21	Gemeente Goeree-Overflakkee Motie Gebiedsgerichte aanpak 'stikstof'	https://krimpenaandenijssel.notubiz.nl/modules/1/Ingekomen%20stukken/768791	18-07-2022	0	0	krimpenaandenijssel_1
22	Aangenomen motie zorgvuldig stikstofbeleid - Gemeente Etten-Leur	https://krimpenaandenijssel.notubiz.nl/modules/1/Ingekomen%20stukken/770040	25-07-2022	0	0	krimpenaandenijssel_1
23	Gemeente De Wolden Motie Stikstofaanpak	https://krimpenaandenijssel.notubiz.nl/modules/1/Ingekomen%20stukken/769172	20-07-2022	0	0	krimpenaandenijssel_1
24	VNG ledenbrief_bestuursakkoord-klimaatadaptatie-en-aanvullende-bestuurlijke-afspraken-water	https://krimpenaandenijssel.notubiz.nl/modules/1/Ingekomen%20stukken/493734	29-01-2019	0	0	krimpenaandenijssel_1
25	Raadsvoorstel Gemeentelijk Rioleringsprogramma (GRP) 2023-2027	https://krimpenaandenijssel.notubiz.nl/modules/1/Ingekomen%20stukken/790497	02-11-2022	0	0	krimpenaandenijssel_1
26	2021-04-22 Save the date 28 mei Voedsel als brandstof	https://krimpenaandenijssel.notubiz.nl/document/10056364/1#search=%22klimaatadaptatie%22	22-04-2021	document	Ingekomen stukken	krimpenaandenijssel_10056364
