Unnamed: 0	document_name	url	date	format	type_doc	unique_id
0	20210331 Amendement D66 Groenplan Laren	https://laren.notubiz.nl/document/9958157/1#search=%22klimaatadaptatie%22	31-03-2021	document	Agendapunt	laren_9958157
1	20210217 Amendement D66 Groenplan Laren	https://laren.notubiz.nl/document/9767064/1#search=%22klimaatadaptatie%22	17-02-2021	document	Agendapunt	laren_9767064
2	20210127Rvs2 Bestuursopdracht Groenplan Laren BIJLAGE bestuursopdracht	https://laren.notubiz.nl/document/9679915/1#search=%22klimaatadaptatie%22	27-01-2021	document	Agendapunt	laren_9679915
3	20210331Rvs2 Bestuursopdracht Groenplan Laren BIJLAGE bestuursopdracht	https://laren.notubiz.nl/document/9958155/1#search=%22klimaatadaptatie%22	31-03-2021	document	Agendapunt	laren_9958155
4	20210331Rvs2 Bestuursopdracht Groenplan Laren BIJLAGE bestuursopdracht	https://laren.notubiz.nl/document/9927900/1#search=%22klimaatadaptatie%22	24-03-2021	document	Agendapunt	laren_9927900
5	20210217Rvs2 Bestuursopdracht Groenplan Laren BIJLAGE bestuursopdracht	https://laren.notubiz.nl/document/9767066/1#search=%22klimaatadaptatie%22	17-02-2021	document	Agendapunt	laren_9767066
6	20221211CVSb22 01194 Groenbeleidsplan BIJLAGE bestuursopdracht	https://laren.notubiz.nl/document/11926993/1#search=%22klimaatadaptatie%22	11-10-2022	document	Agendapunt	laren_11926993
7	RV Speelruimteplan Laren 2024-2033	https://laren.notubiz.nl/document/14514484/1#search=%22klimaatadaptatie%22	11-09-2024	document	Agendapunt	laren_14514484
8	20201216 Amendement VVD derde tussenstand koersdocument regio G&V	https://laren.notubiz.nl/document/9568638/1#search=%22klimaatadaptatie%22	16-12-2020	document	Agendapunt	laren_9568638
9	20210127Rvs2 Bestuursopdracht Groenplan Laren	https://laren.notubiz.nl/document/9679916/1#search=%22klimaatadaptatie%22	27-01-2021	document	Agendapunt	laren_9679916
10	20210331Rvs2 Bestuursopdracht Groenplan Laren	https://laren.notubiz.nl/document/9958154/1#search=%22klimaatadaptatie%22	31-03-2021	document	Agendapunt	laren_9958154
11	20210331Rvs2 Bestuursopdracht Groenplan Laren	https://laren.notubiz.nl/document/9927901/1#search=%22klimaatadaptatie%22	24-03-2021	document	Agendapunt	laren_9927901
12	20210217Rvs2 Bestuursopdracht Groenplan Laren	https://laren.notubiz.nl/document/9767067/1#search=%22klimaatadaptatie%22	17-02-2021	document	Agendapunt	laren_9767067
13	20171220Rvs75 Vaststelling GRP Laren 2018-2022	https://laren.notubiz.nl/document/6012135/2#search=%22klimaatadaptatie%22	12-12-2017	document	Agendapunt	laren_6012135
14	20221211CVSb22 01194 Groenbeleidsplan	https://laren.notubiz.nl/document/11926992/1#search=%22klimaatadaptatie%22	11-10-2022	document	Agendapunt	laren_11926992
15	III-A7 college - raadsinformatiebrief BO MIRT BIJLAGE	https://laren.notubiz.nl/document/11532634/1#search=%22klimaatadaptatie%22	25-05-2022	document	Agendapunt	laren_11532634
16	B23 00835 BIJLAGE 2 - uitvoeringsprogramma	https://laren.notubiz.nl/document/12932749/1#search=%22klimaatadaptatie%22	28-06-2023	document	Agendapunt	laren_12932749
17	B23 00835 BIJLAGE 2 - uitvoeringsprogramma	https://laren.notubiz.nl/document/12874403/1#search=%22klimaatadaptatie%22	14-06-2023	document	Agendapunt	laren_12874403
18	20230329RVSb23 00234 Groenbeleidsplan Laren	https://laren.notubiz.nl/document/12568979/1#search=%22klimaatadaptatie%22	29-03-2023	document	Agendapunt	laren_12568979
19	RV b23 00234 Groenbeleidsplan Laren	https://laren.notubiz.nl/document/12932723/1#search=%22klimaatadaptatie%22	28-06-2023	document	Agendapunt	laren_12932723
20	20230329RVSb23 00234 Groenbeleidsplan Laren	https://laren.notubiz.nl/document/12533848/1#search=%22klimaatadaptatie%22	21-03-2023	document	Agendapunt	laren_12533848
21	D 03 3 BIJLAGE - meerjarenuitvoeringsprogramma bouwen en wonen	https://laren.notubiz.nl/document/14088342/1#search=%22klimaatadaptatie%22	24-04-2024	document	Agendapunt	laren_14088342
22	20211027Rvs61 Beleidsplan kapaanvragen Laren BIJLAGE aanpassingen regelgeving	https://laren.notubiz.nl/document/10656300/1#search=%22klimaatadaptatie%22	12-10-2021	document	Agendapunt	laren_10656300
23	B.01 VRGV - raadsinformatiebrief terugkoppeling vergadering AB 14 februari 2024	https://laren.notubiz.nl/document/13977042/2#search=%22klimaatadaptatie%22	27-03-2024	document	Agendapunt	laren_13977042
24	BIJLAGE 4 - MUVP voorbeeld Bouwen & Wonen (ter informatie)	https://laren.notubiz.nl/document/14212454/1#search=%22klimaatadaptatie%22	29-05-2024	document	Agendapunt	laren_14212454
25	BIJLAGE 4 - MUVP voorbeeld Bouwen & Wonen (ter informatie)	https://laren.notubiz.nl/document/14179200/1#search=%22klimaatadaptatie%22	22-05-2024	document	Agendapunt	laren_14179200
26	M 15 1	https://laren.notubiz.nl/document/13860715/1#search=%22klimaatadaptatie%22	28-02-2024	document	Agendapunt	laren_13860715
27	20211027Rvs61 Beleidsplan kapaanvragen Laren BIJLAGE aanpassingen regelgeving	https://laren.notubiz.nl/document/10706892/1#search=%22klimaatadaptatie%22	27-10-2021	document	Agendapunt	laren_10706892
28	III-A7 college - raadsinformatiebrief Regionaal Woonakkoord Gooi en Vechtstreek BIJLAGE	https://laren.notubiz.nl/document/10074418/1#search=%22klimaatadaptatie%22	28-04-2021	document	Agendapunt	laren_10074418
29	20220126RVSb21 01916 Verstedelijkingsstrategie MRA BIJLAGE brief MRA	https://laren.notubiz.nl/document/11077741/1#search=%22klimaatadaptatie%22	26-01-2022	document	Agendapunt	laren_11077741
30	20230531RVSb23 00688 Zienswijze voortgangsnota MRA	https://laren.notubiz.nl/document/12813249/1#search=%22klimaatadaptatie%22	31-05-2023	document	Agendapunt	laren_12813249
31	20230531RBSb23 00688 Zienswijze voortgangsnota 2023 MRA	https://laren.notubiz.nl/document/12813252/1#search=%22klimaatadaptatie%22	31-05-2023	document	Agendapunt	laren_12813252
32	20220126RVSb21 01916%20Verstedelijkingsstrategie%20MRA%20BIJLAGE%20brief%20MRA	https://laren.notubiz.nl/document/11038675/1#search=%22klimaatadaptatie%22	19-01-2022	document	Agendapunt	laren_11038675
33	20230426RVSb23 00322 Opheffing GR GVE Gooiergracht BIJLAGE intentieverklaring	https://laren.notubiz.nl/document/12618610/1#search=%22klimaatadaptatie%22	12-04-2023	document	Agendapunt	laren_12618610
34	20200527Rvs20 Besteding participatiebijdrage Procesversnelling Ruimtelijke Adaptatie BIJLAGE collegebesluit 2019	https://laren.notubiz.nl/document/8768995/1#search=%22klimaatadaptatie%22	20-05-2020	document	Agendapunt	laren_8768995
35	20200527Rvs20 Besteding participatiebijdrage Procesversnelling Ruimtelijke Adaptatie BIJLAGE collegebesluit 2019	https://laren.notubiz.nl/document/8786785/1#search=%22klimaatadaptatie%22	27-05-2020	document	Agendapunt	laren_8786785
36	20230531RVSb23 00688 Zienswijze voortgangsnota MRA	https://laren.notubiz.nl/document/12795322/1#search=%22klimaatadaptatie%22	25-05-2023	document	Agendapunt	laren_12795322
37	20230426RVSb23 00322 Opheffing GR GVE Gooiergracht BIJLAGE intentieverklaring	https://laren.notubiz.nl/document/12670912/1#search=%22klimaatadaptatie%22	26-04-2023	document	Agendapunt	laren_12670912
38	20191119Cvs zienswijze concept agenda MRA 2 0	https://laren.notubiz.nl/document/8193583/1#search=%22klimaatadaptatie%22	19-11-2019	document	Agendapunt	laren_8193583
39	A 03 3 BIJLAGE - afwegingskader	https://laren.notubiz.nl/document/14088309/1#search=%22klimaatadaptatie%22	24-04-2024	document	Agendapunt	laren_14088309
40	20211027Rvs61 Beleidsplan kapaanvragen Laren BIJLAGE beleidsplan afwegingskader	https://laren.notubiz.nl/document/10656301/1#search=%22klimaatadaptatie%22	12-10-2021	document	Agendapunt	laren_10656301
41	A 06	https://laren.notubiz.nl/document/13651859/1#search=%22klimaatadaptatie%22	20-12-2023	document	Agendapunt	laren_13651859
42	A 03 3 BIJLAGE - afwegingskader	https://laren.notubiz.nl/document/14034920/1#search=%22klimaatadaptatie%22	10-04-2024	document	Agendapunt	laren_14034920
43	20211027Rvs61 Beleidsplan kapaanvragen Laren BIJLAGE beleidsplan afwegingskader	https://laren.notubiz.nl/document/10706894/1#search=%22klimaatadaptatie%22	27-10-2021	document	Agendapunt	laren_10706894
44	20230531RVSb23 00688 Zienswijze voortgangsnota MRA BIJLAGE voortgangsnota	https://laren.notubiz.nl/document/12813251/1#search=%22klimaatadaptatie%22	31-05-2023	document	Agendapunt	laren_12813251
45	20230531RVSb23 00688 Zienswijze voortgangsnota MRA BIJLAGE voortgangsnota	https://laren.notubiz.nl/document/12795321/1#search=%22klimaatadaptatie%22	25-05-2023	document	Agendapunt	laren_12795321
46	20190925Rvs50 Werkplan en begroting 2020 MRA BIJLAGE werkplan en begroting 2020	https://laren.notubiz.nl/document/7981219/1#search=%22klimaatadaptatie%22	19-09-2019	document	Agendapunt	laren_7981219
47	20190925Rvs50 Werkplan en begroting 2020 MRA BIJLAGE werkplan en begroting 2020	https://laren.notubiz.nl/document/7981615/1#search=%22klimaatadaptatie%22	25-09-2019	document	Agendapunt	laren_7981615
48	20200930Rvs43 Werkplan en begroting 2021 MRA BIJLAGE werkplan	https://laren.notubiz.nl/document/9223545/1#search=%22klimaatadaptatie%22	30-09-2020	document	Agendapunt	laren_9223545
49	20191119Cvs zienswijze concept agenda MRA 2 0 BIJLAGE concept MRA agenda	https://laren.notubiz.nl/document/8193581/1#search=%22klimaatadaptatie%22	19-11-2019	document	Agendapunt	laren_8193581
50	A 03 2 BIJLAGE - beleidsplan kapaanvragen Laren	https://laren.notubiz.nl/document/14088308/1#search=%22klimaatadaptatie%22	24-04-2024	document	Agendapunt	laren_14088308
51	20211027Rvs61 Beleidsplan kapaanvragen Laren BIJLAGE beleidsplan	https://laren.notubiz.nl/document/10656303/1#search=%22klimaatadaptatie%22	12-10-2021	document	Agendapunt	laren_10656303
52	20211222Rvs80 Wijziging Algemene plaatselijke verordening Laren 2020 (APV) BIJLAGE beleidsplan kapaanvragen	https://laren.notubiz.nl/document/10969336/1#search=%22klimaatadaptatie%22	22-12-2021	document	Agendapunt	laren_10969336
53	20211222Rvs80 Wijziging Algemene plaatselijke verordening Laren 2020 (APV) BIJLAGE beleidsplan kapaanvragen	https://laren.notubiz.nl/document/10937039/1#search=%22klimaatadaptatie%22	15-12-2021	document	Agendapunt	laren_10937039
54	20220217Rvs80 Wijziging Algemene plaatselijke verordening Laren 2020 (APV) BIJLAGE beleidsplan kapaanvragen	https://laren.notubiz.nl/document/11158475/1#search=%22klimaatadaptatie%22	08-02-2022	document	Agendapunt	laren_11158475
55	A 03 2 BIJLAGE - beleidsplan kapaanvragen Laren	https://laren.notubiz.nl/document/14034921/1#search=%22klimaatadaptatie%22	10-04-2024	document	Agendapunt	laren_14034921
56	20220217Rvs80 Wijziging Algemene plaatselijke verordening Laren 2020 (APV) BIJLAGE beleidsplan kapaanvragen AANGEPASTE VERSIE	https://laren.notubiz.nl/document/11211795/1#search=%22klimaatadaptatie%22	17-02-2022	document	Agendapunt	laren_11211795
57	20211027Rvs61 Beleidsplan kapaanvragen Laren BIJLAGE beleidsplan	https://laren.notubiz.nl/document/10706896/1#search=%22klimaatadaptatie%22	27-10-2021	document	Agendapunt	laren_10706896
58	RV Water- en rioolprogramma 2024-2028	https://laren.notubiz.nl/document/14153037/1#search=%22klimaatadaptatie%22	15-05-2024	document	Agendapunt	laren_14153037
59	RV Water- en rioolprogramma 2024-2028	https://laren.notubiz.nl/document/14212377/1#search=%22klimaatadaptatie%22	29-05-2024	document	Agendapunt	laren_14212377
60	20200527Rvs20 Besteding participatiebijdrage Procesversnelling Ruimtelijke Adaptatie	https://laren.notubiz.nl/document/8768997/1#search=%22klimaatadaptatie%22	20-05-2020	document	Agendapunt	laren_8768997
61	20200527Rvs20 Besteding participatiebijdrage Procesversnelling Ruimtelijke Adaptatie	https://laren.notubiz.nl/document/8786787/1#search=%22klimaatadaptatie%22	27-05-2020	document	Agendapunt	laren_8786787
62	20220217RVSb21 02065 Contourendocument Omgevingsvisie Laren	https://laren.notubiz.nl/document/11158489/1#search=%22klimaatadaptatie%22	08-02-2022	document	Agendapunt	laren_11158489
63	20220217RVSb21 02065 Contourendocument Omgevingsvisie Laren	https://laren.notubiz.nl/document/11211857/1#search=%22klimaatadaptatie%22	17-02-2022	document	Agendapunt	laren_11211857
64	III-A1 college - raadsinformatiebrief integrale aanpak Gooiergracht Laren BIJLAGE	https://laren.notubiz.nl/document/11447760/1#search=%22klimaatadaptatie%22	28-04-2022	document	Agendapunt	laren_11447760
65	20221211CVSb22 01194 Groenbeleidsplan BIJLAGE uitkomsten inwonerspanel	https://laren.notubiz.nl/document/11926994/1#search=%22klimaatadaptatie%22	11-10-2022	document	Agendapunt	laren_11926994
66	D 05 1 MRA - voorgangsnota 2023	https://laren.notubiz.nl/document/14088346/1#search=%22klimaatadaptatie%22	24-04-2024	document	Agendapunt	laren_14088346
67	BIJLAGE 1 - Water- en Rioolprogramma Laren 2024-2028	https://laren.notubiz.nl/document/14153035/1#search=%22klimaatadaptatie%22	15-05-2024	document	Agendapunt	laren_14153035
68	BIJLAGE 1 - Water- en Rioolprogramma Laren 2024-2028	https://laren.notubiz.nl/document/14212380/1#search=%22klimaatadaptatie%22	29-05-2024	document	Agendapunt	laren_14212380
69	D 03 4 BIJLAGE - nota van beantwoording	https://laren.notubiz.nl/document/14088343/1#search=%22klimaatadaptatie%22	24-04-2024	document	Agendapunt	laren_14088343
70	BIJLAGE - Speelruimteplan Laren 2024-2023	https://laren.notubiz.nl/document/14514486/1#search=%22klimaatadaptatie%22	11-09-2024	document	Agendapunt	laren_14514486
71	20200624Rvs26 Jaarstukken 2019 - Gemeente Laren	https://laren.notubiz.nl/document/8922355/1#search=%22klimaatadaptatie%22	24-06-2020	document	Agendapunt	laren_8922355
72	20220126RVSb22 00018 Bestemmingsplan en Beeldkwaliteitsplan voormalige Rabobank	https://laren.notubiz.nl/document/11077772/1#search=%22klimaatadaptatie%22	26-01-2022	document	Agendapunt	laren_11077772
73	20200304Rvs3 Vaststelling stedenbouwkundige en landschappelijke uitgangspunten Crailo BIJLAGE 8	https://laren.notubiz.nl/document/8506023/1#search=%22klimaatadaptatie%22	04-03-2020	document	Agendapunt	laren_8506023
74	BIJLAGE 5 - Nota van Beantwoording proposities MRA agenda	https://laren.notubiz.nl/document/14212455/1#search=%22klimaatadaptatie%22	29-05-2024	document	Agendapunt	laren_14212455
75	Bijlage 8 Plan van Aanpak Mobiliteit Crailo dd	https://laren.notubiz.nl/document/8375570/1#search=%22klimaatadaptatie%22	21-01-2020	document	Agendapunt	laren_8375570
76	20200304Rvs3 Vaststelling stedenbouwkundige en landschappelijke uitgangspunten Crailo BIJLAGE 8	https://laren.notubiz.nl/document/8445975/1#search=%22klimaatadaptatie%22	11-02-2020	document	Agendapunt	laren_8445975
77	BIJLAGE 5 - Nota van Beantwoording proposities MRA agenda	https://laren.notubiz.nl/document/14179201/1#search=%22klimaatadaptatie%22	22-05-2024	document	Agendapunt	laren_14179201
78	20200930Rvs43 Werkplan en begroting 2021 MRA BIJLAGE bestuurlijke oplegger	https://laren.notubiz.nl/document/9223547/1#search=%22klimaatadaptatie%22	30-09-2020	document	Agendapunt	laren_9223547
79	20200624Rvs26 Jaarstukken 2019 - Gemeente Laren	https://laren.notubiz.nl/document/8895498/1#search=%22klimaatadaptatie%22	18-06-2020	document	Agendapunt	laren_8895498
80	20210630Rvs42 Verstedelijkingsstrategie 2030-2050 Metropoolregio Amsterdam BIJLAGE concept zienswijze	https://laren.notubiz.nl/document/10345593/1#search=%22klimaatadaptatie%22	30-06-2021	document	Agendapunt	laren_10345593
81	20180926Rvs48 Werkplan en begroting Metropoolregio Amsterdam 2019 BIJLAGE werkplan	https://laren.notubiz.nl/document/6857777/1#search=%22klimaatadaptatie%22	26-09-2018	document	Agendapunt	laren_6857777
82	20180926Rvs48%20Werkplan%20en%20begroting%20Metropoolregio%20Amsterdam%202019%20BIJLAGE%20werkplan	https://laren.notubiz.nl/document/6827998/2#search=%22klimaatadaptatie%22	18-09-2018	document	Agendapunt	laren_6827998
83	20210630Rvs42 Verstedelijkingsstrategie 2030-2050 Metropoolregio Amsterdam BIJLAGE concept zienswijze	https://laren.notubiz.nl/document/10309322/1#search=%22klimaatadaptatie%22	22-06-2021	document	Agendapunt	laren_10309322
84	20210630Rvs42 Verstedelijkingsstrategie 2030-2050 Metropoolregio Amsterdam BIJLAGE verstedelijkingsconcept versie 2	https://laren.notubiz.nl/document/10345594/1#search=%22klimaatadaptatie%22	30-06-2021	document	Agendapunt	laren_10345594
85	B23 00835 BIJLAGE 1 - koersdocument	https://laren.notubiz.nl/document/12932748/1#search=%22klimaatadaptatie%22	28-06-2023	document	Agendapunt	laren_12932748
86	20210630Rvs42 Verstedelijkingsstrategie 2030-2050 Metropoolregio Amsterdam BIJLAGE verstedelijkingsconcept versie 2	https://laren.notubiz.nl/document/10309320/1#search=%22klimaatadaptatie%22	22-06-2021	document	Agendapunt	laren_10309320
87	B23 00835 BIJLAGE 1 - koersdocument	https://laren.notubiz.nl/document/12874402/1#search=%22klimaatadaptatie%22	14-06-2023	document	Agendapunt	laren_12874402
