Unnamed: 0	document_name	url	date	format	type_doc	unique_id
0	Raadsinformatiebrief Klimaatadaptatie uitvoeringsplan	https://maassluis.notubiz.nl/document/12754852/2#search=%22klimaatadaptatie%22	08-11-2022	document	Moties	maassluis_12754852
1	Raadsinformatiebrief Klimaatadaptatie uitvoeringsplan	https://maassluis.notubiz.nl/vergadering/1094860#ai_7575787	09-05-2023	Agendapunt	Advies B en W Klimaatadaptatie uitvoeringsplan	maassluis_1094860
2	Raadsinformatiebrief Klimaatadaptatie uitvoeringsplan	https://maassluis.notubiz.nl/document/12739621/1#search=%22klimaatadaptatie%22	09-05-2023	document	Agendapunt	maassluis_12739621
3	Raadsinformatiebrief Klimaatadaptatie uitvoeringsplan	https://maassluis.notubiz.nl/document/12741412/1#search=%22klimaatadaptatie%22	11-05-2023	document	Raadsinformatiebrieven	maassluis_12741412
4	Uitvoeringsplan Klimaatadaptatie Maassluis 2023-2026	https://maassluis.notubiz.nl/document/12732586/2#search=%22klimaatadaptatie%22	09-05-2023	document	Agendapunt	maassluis_12732586
5	Bijlage 1 Uitvoeringsplan Klimaatadaptatie Maassluis 2023-2026	https://maassluis.notubiz.nl/document/12755129/1#search=%22klimaatadaptatie%22	08-11-2022	document	Moties	maassluis_12755129
6	Advies B en W Impulsregeling klimaatadaptatie	https://maassluis.notubiz.nl/vergadering/885792#ai_6219431	14-09-2021	Agendapunt	Evenement	maassluis_885792
7	Besluit B en W Impulsregeling klimaatadaptatie	https://maassluis.notubiz.nl/document/10538504/1#search=%22klimaatadaptatie%22	14-09-2021	document	Agendapunt	maassluis_10538504
8	Advies B en W Klimaatadaptatie uitvoeringsplan	https://maassluis.notubiz.nl/vergadering/1094860#ai_7575773	09-05-2023	Agendapunt	Evenement	maassluis_1094860
9	Besluit B en W Klimaatadaptatie uitvoeringsplan	https://maassluis.notubiz.nl/document/12723864/1#search=%22klimaatadaptatie%22	09-05-2023	document	Agendapunt	maassluis_12723864
10	Bijlage 1 Uitvoeringsplan Klimaatadaptatie Maassluis 2023-2026	https://maassluis.notubiz.nl/document/12741413/1#search=%22klimaatadaptatie%22	11-05-2023	document	Raadsinformatiebrieven	maassluis_12741413
11	Bijlage 1 Uitvoeringsplan Klimaatadaptatie Maassluis 2023-2026	https://maassluis.notubiz.nl/document/12741476/1#search=%22klimaatadaptatie%22	11-05-2023	document	Raadsinformatiebrieven	maassluis_12741476
12	Advies B en W samenwerkingsovereenkomst klimaatadaptatie werkregio Delfland	https://maassluis.notubiz.nl/vergadering/903864#ai_6348197	09-11-2021	Agendapunt	Evenement	maassluis_903864
13	Besluit B en W samenwerkingsovereenkomst klimaatadaptatie werkregio Delfland	https://maassluis.notubiz.nl/document/10764147/1#search=%22klimaatadaptatie%22	09-11-2021	document	Agendapunt	maassluis_10764147
14	Raadsinformatiebrief Klimaatadaptatie uitvoeringsplan	https://maassluis.notubiz.nl/modules/8/Raadsinformatiebrieven/845882	11-05-2023	0	0	maassluis_8
