Unnamed: 0	document_name	url	date	format	type_doc	unique_id
0	Motie klimaatadaptatie	https://nissewaard.notubiz.nl/vergadering/625066#ai_4641324	16-04-2019	Agendapunt	Evenement	nissewaard_625066
1	Motie klimaatadaptatie	https://nissewaard.notubiz.nl/document/7519706/2#search=%22klimaatadaptatie%22	20-05-2019	document	Agendapunt	nissewaard_7519706
2	VVD - Motie klimaatadaptatie	https://nissewaard.notubiz.nl/document/5511427/1#search=%22klimaatadaptatie%22	28-06-2017	document	Agendapunt	nissewaard_5511427
3	VVD - Motie klimaatadaptatie	https://nissewaard.notubiz.nl/document/5505881/1#search=%22klimaatadaptatie%22	04-07-2017	document	Agendapunt	nissewaard_5505881
4	Strategie klimaatadaptatie Voorne_Putten Definitief	https://nissewaard.notubiz.nl/document/6683733/1#search=%22klimaatadaptatie%22	17-07-2018	document	Agendapunt	nissewaard_6683733
5	Strategie klimaatadaptatie Voorne_Putten Definitief	https://nissewaard.notubiz.nl/document/6747375/1#search=%22klimaatadaptatie%22	05-09-2018	document	Agendapunt	nissewaard_6747375
6	33. Motie klimaatadaptatie; collegeadvies	https://nissewaard.notubiz.nl/document/7582415/1#search=%22klimaatadaptatie%22	08-05-2019	document	Agendapunt	nissewaard_7582415
7	33. Motie klimaatadaptatie; motie	https://nissewaard.notubiz.nl/document/7582418/1#search=%22klimaatadaptatie%22	08-05-2019	document	Agendapunt	nissewaard_7582418
8	M 04 VVD - Motie klimaatadaptatie	https://nissewaard.notubiz.nl/document/5536125/1#search=%22klimaatadaptatie%22	05-07-2017	document	Agendapunt	nissewaard_5536125
9	M 04 VVD - Motie klimaatadaptatie	https://nissewaard.notubiz.nl/document/5597419/1#search=%22klimaatadaptatie%22	30-08-2017	document	Agendapunt	nissewaard_5597419
10	26. Memo afdoening motie Klimaatadaptatie	https://nissewaard.notubiz.nl/document/7582413/1#search=%22klimaatadaptatie%22	08-05-2019	document	Agendapunt	nissewaard_7582413
11	16.Memo strategie en uitvoeringsagenda's klimaatadaptatie	https://nissewaard.notubiz.nl/document/10186343/1#search=%22klimaatadaptatie%22	02-06-2021	document	Agendapunt	nissewaard_10186343
