Unnamed: 0	document_name	url	date	format	type_doc	unique_id
0	Memo klimaatadaptatie Wp	https://noord-holland.notubiz.nl/document/13368765/1#search=%22klimaatadaptatie%22	19-10-2023	document	Agendapunt	noord-holland_13368765
1	1357946-1357946 notitie klimaatadaptatie	https://noord-holland.notubiz.nl/document/8648977/1#search=%22klimaatadaptatie%22	16-04-2020	document	Agendapunt	noord-holland_8648977
2	Memo klimaatadaptatie Wp	https://noord-holland.notubiz.nl/document/13472259/1#search=%22klimaatadaptatie%22	13-11-2023	document	Agendapunt	noord-holland_13472259
3	Bijlage 1 Eindconcept Bestuursakkoord Klimaatadaptatie	https://noord-holland.notubiz.nl/document/7107448/1#search=%22klimaatadaptatie%22	03-12-2018	document	Agendapunt	noord-holland_7107448
4	Brief GS aan PS Subsidie procesondersteuning Klimaatadaptatie	https://noord-holland.notubiz.nl/document/7938927/1#search=%22klimaatadaptatie%22	09-09-2019	document	Agendapunt	noord-holland_7938927
5	1237759-1237775 uvr procesondersteuning klimaatadaptatie gemeenten	https://noord-holland.notubiz.nl/document/7938928/1#search=%22klimaatadaptatie%22	09-09-2019	document	Agendapunt	noord-holland_7938928
6	1800824-1967209 Eindrapportage Tussenevaluatie Klimaatadaptatie Noord-Holland	https://noord-holland.notubiz.nl/document/12420396/1#search=%22klimaatadaptatie%22	13-02-2023	document	Agendapunt	noord-holland_12420396
7	Brief GS aan PS Bestuursakkoord Klimaatadaptatie	https://noord-holland.notubiz.nl/document/7107450/1#search=%22klimaatadaptatie%22	03-12-2018	document	Agendapunt	noord-holland_7107450
8	Brief aan PS over notitie Klimaatadaptatie Noord-Holland	https://noord-holland.notubiz.nl/document/8648976/1#search=%22klimaatadaptatie%22	16-04-2020	document	Agendapunt	noord-holland_8648976
9	1357939-1357949 UVR subsidie fysieke uitvoeringsprojecten klimaatadaptatie NH 2020	https://noord-holland.notubiz.nl/document/8648978/1#search=%22klimaatadaptatie%22	16-04-2020	document	Agendapunt	noord-holland_8648978
10	1357939-1365171 UVR subsidie onderzoek fysieke uitvoeringsprojecten klimaatadaptatie NH 2020	https://noord-holland.notubiz.nl/document/8648979/1#search=%22klimaatadaptatie%22	16-04-2020	document	Agendapunt	noord-holland_8648979
11	3 UVR Subsidie fysieke uitvoeringsprojecten Klimaatadaptatie N-H 2022	https://noord-holland.notubiz.nl/document/11794725/1#search=%22klimaatadaptatie%22	05-09-2022	document	Agendapunt	noord-holland_11794725
12	4 Openstellingsbesluit - UVR Subsidie fysieke uitvoeringsprojecten klimaatadaptatie N-H 2022	https://noord-holland.notubiz.nl/document/11794726/1#search=%22klimaatadaptatie%22	05-09-2022	document	Agendapunt	noord-holland_11794726
13	Brief aan PS over vaststelling Uitvoeringsregeling fysieke uivoeringsprojecten klimaatadaptatie 2022	https://noord-holland.notubiz.nl/document/11794727/1#search=%22klimaatadaptatie%22	05-09-2022	document	Agendapunt	noord-holland_11794727
14	1800824-1967209 Rapport tussenevaluatie klimaatadaptatie DEF 11-11-22	https://noord-holland.notubiz.nl/document/12420397/1#search=%22klimaatadaptatie%22	13-02-2023	document	Agendapunt	noord-holland_12420397
15	Water: Bestuursakkoord Klimaatadaptatie (C-agenda NLWM 03-12-2018)	https://noord-holland.notubiz.nl/vergadering/463443#ai_4398415	03-12-2018	Agendapunt	Evenement	noord-holland_463443
16	RO/Klimaat/Water: Notitie Klimaatadaptatie Noord-Holland, bouwstenen voor een provinciale aanpak en twee uitvoeringsregelingen subsidies klimaatadaptatie (C-agenda RWK 16-03-2020)	https://noord-holland.notubiz.nl/vergadering/702822#ai_5270696	16-04-2020	Agendapunt	Evenement	noord-holland_702822
17	A-agenda Klimaat en Energie (12/10: Memo klimaatadaptatie en Participatiemomenten toegevoegd aan ag.p. 3a)	https://noord-holland.notubiz.nl/vergadering/1078345#ai_7932719	19-10-2023	Agendapunt	Evenement	noord-holland_1078345
18	Brief aan PS over besluit wijziging Uvr subsidie fysieke uitvoeringsprojecten klimaatadaptatie Noord-Holland 2020	https://noord-holland.notubiz.nl/document/10231243/1#search=%22klimaatadaptatie%22	07-06-2021	document	Agendapunt	noord-holland_10231243
19	Brief GS aan PS inz erratum Statenvoordracht begroting 2020 (ontwerp-instellingsbesluit reserve Klimaatadaptatie)	https://noord-holland.notubiz.nl/document/8154779/1#search=%22klimaatadaptatie%22	11-11-2019	document	Agendapunt	noord-holland_8154779
20	Brief aan PS over besluit tot wijziging Uvr subsidie onderzoek fysieke uitvoeringsprojecten klimaatadaptatie	https://noord-holland.notubiz.nl/document/10694095/1#search=%22klimaatadaptatie%22	25-10-2021	document	Agendapunt	noord-holland_10694095
21	Brief aan PS over besluit tot wijziging Uvr subsidie onderzoek fysieke uitvoeringsprojecten klimaatadaptatie	https://noord-holland.notubiz.nl/document/10694592/1#search=%22klimaatadaptatie%22	25-10-2021	document	Agendapunt	noord-holland_10694592
22	Wonen: Tussenevaluatie klimaatadaptatie (c-agenda RWK 13-02-23 en C-agenda NLG 13-02-23)	https://noord-holland.notubiz.nl/vergadering/885899#ai_7402604	13-02-2023	Agendapunt	Evenement	noord-holland_885899
23	Brief aan PS over tussenevaluatie van het beleidsdocument Klimaatadaptatie Noord-Holland - bouwstenen voor de provinciale aanpak	https://noord-holland.notubiz.nl/document/12420398/1#search=%22klimaatadaptatie%22	13-02-2023	document	Agendapunt	noord-holland_12420398
24	Brief GS aan PS inz erratum Statenvoordracht begroting 2020 (ontwerp-instellingsbesluit reserve Klimaatadaptatie) (1)	https://noord-holland.notubiz.nl/document/8059573/1#search=%22klimaatadaptatie%22	14-10-2019	document	Agendapunt	noord-holland_8059573
25	Brief GS aan PS inz erratum Statenvoordracht begroting 2020 (ontwerp-instellingsbesluit reserve Klimaatadaptatie)	https://noord-holland.notubiz.nl/document/8057555/1#search=%22klimaatadaptatie%22	14-10-2019	document	Agendapunt	noord-holland_8057555
26	Klimaatadaptatie/Ruimte: Intentieovereenkomst klimaatbestendige nieuwbouw in de MRA en Noord-Holland (c-agenda RWK 14-3-2022)	https://noord-holland.notubiz.nl/vergadering/885823#ai_6691907	14-03-2022	Agendapunt	Evenement	noord-holland_885823
27	Water: Wijziging uitvoeringsregeling subsidie fysieke uitvoeringsprojecten klimaatadaptatie provincie Noord-Holland 2020 (C-agenda NLG 07-06-2021)	https://noord-holland.notubiz.nl/vergadering/809180#ai_6070895	07-06-2021	Agendapunt	Evenement	noord-holland_809180
28	Klimaat / Water: Wijziging Uitvoeringsregeling onderzoek fysieke uitvoeringsprojecten Klimaatadaptatie (C-agenda RWK 25-10-2021 & C-agenda NLG 25-10-2021)	https://noord-holland.notubiz.nl/vergadering/809242#ai_6313296	25-10-2021	Agendapunt	Evenement	noord-holland_809242
29	Klimaat / Water: Wijziging Uitvoeringsregeling onderzoek fysieke uitvoeringsprojecten Klimaatadaptatie (C-agenda RWK 25-10-2021 & C-agenda NLG 25-10-2021)	https://noord-holland.notubiz.nl/vergadering/809241#ai_6313506	25-10-2021	Agendapunt	Evenement	noord-holland_809241
30	Klimaat: Uitvoeringsregeling subsidie cofinanciering procesondersteuning klimaatadaptatie gemeenten Noord-Holland 2019 (C-agenda commissie RWK 09-09-2019)	https://noord-holland.notubiz.nl/vergadering/650182#ai_4882627	09-09-2019	Agendapunt	Evenement	noord-holland_650182
