Unnamed: 0	document_name	url	date	format	type_doc	unique_id
0	Technische vragen PvdD aanpak Pijnacker centrum	https://pijnacker-nootdorp.notubiz.nl/document/7597092/1#search=%22klimaatadaptatie%22	10-05-2019	document	Ingekomen stukken	pijnacker-nootdorp_7597092
1	Manifest LTO Glastuinbouw Nederland geredigeerd	https://pijnacker-nootdorp.notubiz.nl/document/11380972/1#search=%22klimaatadaptatie%22	06-04-2022	document	Ingekomen stukken	pijnacker-nootdorp_11380972
2	Beeldvormende vragen D66, EA en CDA Kaderstellende notitie Oranjepark*	https://pijnacker-nootdorp.notubiz.nl/document/13390127/2#search=%22klimaatadaptatie%22	26-10-2023	document	Agendapunt	pijnacker-nootdorp_13390127
3	Beeldvormende vragen CDA - Startnotitie parkeerbeleid*	https://pijnacker-nootdorp.notubiz.nl/document/12479751/2#search=%22klimaatadaptatie%22	09-03-2023	document	Agendapunt	pijnacker-nootdorp_12479751
4	Nieuwsbrief	https://pijnacker-nootdorp.notubiz.nl/document/7387275/2#search=%22klimaatadaptatie%22	05-03-2019	document	Ingekomen stukken	pijnacker-nootdorp_7387275
5	Bijlage 3 - Uitvoeringsprogramma Programma Water en Klimaat (def)	https://pijnacker-nootdorp.notubiz.nl/document/9887107/1#search=%22klimaatadaptatie%22	22-04-2021	document	Agendapunt	pijnacker-nootdorp_9887107
6	A4 - Amendement PvdD 'Verticaal groen' - ingetrokken (ondertekend)	https://pijnacker-nootdorp.notubiz.nl/document/13538250/1#search=%22klimaatadaptatie%22	23-11-2023	document	Agendapunt	pijnacker-nootdorp_13538250
7	Bijlage 1 - Portefeuilleverdeling per 27 september 2022	https://pijnacker-nootdorp.notubiz.nl/document/11883897/1#search=%22klimaatadaptatie%22	28-09-2022	document	Ingekomen stukken	pijnacker-nootdorp_11883897
8	24. 1474636	https://pijnacker-nootdorp.notubiz.nl/document/13756889/1#search=%22klimaatadaptatie%22	08-02-2024	document	Agendapunt	pijnacker-nootdorp_13756889
9	Zienswijze Zoetermeer - ontwerpbegroting 2025 MRDH	https://pijnacker-nootdorp.notubiz.nl/document/14220460/1#search=%22klimaatadaptatie%22	27-06-2024	document	Agendapunt	pijnacker-nootdorp_14220460
