Unnamed: 0	document_name	url	date	format	type_doc	unique_id
0	20200707-1522558; Raadsbrief Stand van zaken planvorming klimaatadaptatie	https://purmerend.notubiz.nl/document/8983006/1#search=%22klimaatadaptatie%22	08-07-2020	document	Ingekomen stukken	purmerend_8983006
1	20210607-1549013 H. Aslander - klimaatadaptatie en natuurinclusief bouwen	https://purmerend.notubiz.nl/document/10234475/2#search=%22klimaatadaptatie%22	07-06-2021	document	Schriftelijke vragen	purmerend_10234475
2	20210622-1549329 Beantwoording H. Aslander - klimaatadaptatie en natuurinclusief bouwen	https://purmerend.notubiz.nl/document/10313485/2#search=%22klimaatadaptatie%22	07-06-2021	document	Schriftelijke vragen	purmerend_10313485
3	20190128 VNG - Ledenbrief 19 007 - Bestuursakkoord klimaatadaptatie en aanvullende bestuurlijke afspraken water	https://purmerend.notubiz.nl/document/7805782/1#search=%22klimaatadaptatie%22	28-01-2019	document	Ingekomen stukken	purmerend_7805782
4	20221220-1579060-raadsbrief-voortgang-uitvoeringsplan-klimaatadaptatie-zaanstreek-waterland-en-purmerend-2021-2024	https://purmerend.notubiz.nl/document/12223527/1#search=%22klimaatadaptatie%22	20-12-2022	document	Ingekomen stukken	purmerend_12223527
5	20211214-1560679; Raadsbrief Voortgang Uitvoeringsplan klimaatadaptatie Zaanstreek-Waterland en Purmerend 2021-2024	https://purmerend.notubiz.nl/document/10930392/1#search=%22klimaatadaptatie%22	14-12-2021	document	Ingekomen stukken	purmerend_10930392
6	H. Aslander - klimaatadaptatie en natuurinclusief bouwen	https://purmerend.notubiz.nl/modules/4/Schriftelijke%20vragen/675770	07-06-2021	0	0	purmerend_4
7	Raadsbrief Stand van zaken planvorming klimaatadaptatie	https://purmerend.notubiz.nl/modules/1/Ingekomen%20stukken/593906	08-07-2020	0	0	purmerend_1
8	20190128_ VNG - Ledenbrief 19_007 - Bestuursakkoord klimaatadaptatie en aanvullende bestuurlijke afspraken water	https://purmerend.notubiz.nl/modules/1/Ingekomen%20stukken/523048	28-01-2019	0	0	purmerend_1
9	Raadsbrief voortgang uitvoeringsplan klimaatadaptatie Zaanstreek-Waterland en Purmerend 2021-2024	https://purmerend.notubiz.nl/modules/1/Ingekomen%20stukken/803314	20-12-2022	0	0	purmerend_1
10	Raadsbrief Voortgang Uitvoeringsplan klimaatadaptatie Zaanstreek-Waterland en Purmerend 2021-2024	https://purmerend.notubiz.nl/modules/1/Ingekomen%20stukken/718387	14-12-2021	0	0	purmerend_1
11	Presentatie klimaat adaptatieplan	https://purmerend.notubiz.nl/document/9202805/1#search=%22klimaatadaptatie%22	23-09-2020	document	Evenement	purmerend_9202805
12	Masterplan Waterlandkwartier (Stationsgebied)	https://purmerend.notubiz.nl/vergadering/843206#ai_6112019	30-06-2021	Agendapunt	Evenement	purmerend_843206
13	i-bijlage-c-ambtshalve wijzigingen-behorende-bij-nota-van-beantwoording-zienswijzen	https://purmerend.notubiz.nl/document/14526928/1#search=%22klimaatadaptatie%22	13-09-2024	document	Agendavoorraad	purmerend_14526928
14	Technical questions - D66 - Klimaatadaptie	https://purmerend.notubiz.nl/document/7838947/1#search=%22klimaatadaptatie%22	29-01-2019	document	Technische vragen	purmerend_7838947
15	D-nota-van-zienswijzen-Riekstraat-Gaffelstraat-2022-bijlage-B	https://purmerend.notubiz.nl/document/11558445/1#search=%22klimaatadaptatie%22	02-06-2022	document	Agendavoorraad	purmerend_11558445
16	Masterplan Waterlandkwartier (Stationsgebied)	https://purmerend.notubiz.nl/vergadering/843203#ai_6067842	17-06-2021	Agendapunt	Evenement	purmerend_843203
17	20180404 Klimaatverbond Nederland - Uitnodiging cursus Klimaatwarming-ups	https://purmerend.notubiz.nl/document/7811336/1#search=%22klimaatadaptatie%22	04-04-2018	document	Ingekomen stukken	purmerend_7811336
18	Ter advisering: Initiatiefvoorstel D66: Operatie Steenbreek Purmerend	https://purmerend.notubiz.nl/vergadering/483683#ai_3875013	08-02-2018	Agendapunt	Evenement	purmerend_483683
19	MRA Verstedelijkingsstrategie	https://purmerend.notubiz.nl/vergadering/843206#ai_6112012	30-06-2021	Agendapunt	Evenement	purmerend_843206
20	Voorblad commissie SOB Masterplan Waterlandkwartier	https://purmerend.notubiz.nl/document/10224661/2#search=%22klimaatadaptatie%22	17-06-2021	document	Agendapunt	purmerend_10224661
21	Voorblad en advies commissie SOB Masterplan Waterlandkwartier	https://purmerend.notubiz.nl/document/10313484/2#search=%22klimaatadaptatie%22	30-06-2021	document	Agendapunt	purmerend_10313484
22	Presentatie Natuurinclusief bouwen 16-02-2021	https://purmerend.notubiz.nl/document/9771991/1#search=%22klimaatadaptatie%22	16-02-2021	document	Agendapunt	purmerend_9771991
23	20200331-1509971 N. Moinat Corona-noodfonds	https://purmerend.notubiz.nl/document/8597363/2#search=%22klimaatadaptatie%22	01-04-2020	document	Schriftelijke vragen	purmerend_8597363
24	20210511; MRA - Maandelijks MRA Raads- en Statenleden Bericht - editie 49	https://purmerend.notubiz.nl/document/10116904/1#search=%22klimaatadaptatie%22	11-05-2021	document	Ingekomen stukken	purmerend_10116904
25	Klimaatverbond Nederland - cursusdag Klimaatwarming (diverse locaties)	https://purmerend.notubiz.nl/document/7808478/1#search=%22klimaatadaptatie%22	20-07-2018	document	Ingekomen stukken	purmerend_7808478
26	Integraal Beheerplan Openbare Ruimte 2022-2026	https://purmerend.notubiz.nl/vergadering/993508#ai_6972821	01-09-2022	Agendapunt	Evenement	purmerend_993508
27	voorblad-commissie-integraal-beheerplan-openbare-ruimte-2022-2026	https://purmerend.notubiz.nl/document/11744391/1#search=%22klimaatadaptatie%22	01-09-2022	document	Agendapunt	purmerend_11744391
28	Integraal Beheerplan Openbare Ruimte 2022-2026	https://purmerend.notubiz.nl/vergadering/993511#ai_7007232	15-09-2022	Agendapunt	Evenement	purmerend_993511
29	voorblad-advies-commissie-integraal-beheerplan-openbare-ruimte-2022-2026	https://purmerend.notubiz.nl/document/11799628/2#search=%22klimaatadaptatie%22	15-09-2022	document	Agendapunt	purmerend_11799628
30	Bespreekpunt: Vaststelling Gemeentelijke Rioleringsplan Purmerend 2018-2023	https://purmerend.notubiz.nl/vergadering/562748#ai_4612899	28-03-2019	Agendapunt	Evenement	purmerend_562748
31	20220630-mra-save-the-date-mra-duurzaamheid-symposium-21-september-2022	https://purmerend.notubiz.nl/document/11660193/1#search=%22klimaatadaptatie%22	01-07-2022	document	Ingekomen stukken	purmerend_11660193
32	09a Voorblad Initiatiefvoorstel D66, operatie Steenbreek	https://purmerend.notubiz.nl/document/6173566/1#search=%22klimaatadaptatie%22	08-02-2018	document	Agendapunt	purmerend_6173566
33	Ter advisering: Vaststelling Gemeentelijke Rioleringsplan Purmerend 2018-2023	https://purmerend.notubiz.nl/vergadering/562744#ai_4585141	14-03-2019	Agendapunt	Evenement	purmerend_562744
34	20240227-memo-tijdelijke-portefeuilleverdeling-februari-2024	https://purmerend.notubiz.nl/document/13854802/1#search=%22klimaatadaptatie%22	27-02-2024	document	Ingekomen stukken	purmerend_13854802
35	20240402-1596519-memo-portefeuilleverdeling-april-2024	https://purmerend.notubiz.nl/document/13994278/2#search=%22klimaatadaptatie%22	02-04-2024	document	Ingekomen stukken	purmerend_13994278
36	20210126 presentatie Communicatie Participatie Stationsgebied	https://purmerend.notubiz.nl/document/9692094/2#search=%22klimaatadaptatie%22	11-02-2021	document	Agendapunt	purmerend_9692094
37	Definitief ontwerp Kooimanpark	https://purmerend.notubiz.nl/vergadering/937675#ai_6894636	30-06-2022	Agendapunt	Evenement	purmerend_937675
38	A2. Amendement-GBP-PvdA-groene-parkeerplaatsen-gewijzigd	https://purmerend.notubiz.nl/document/12095815/3#search=%22klimaatadaptatie%22	24-11-2022	document	Moties en amendementen	purmerend_12095815
39	A2 -aangenomen-amendement-GBP-PvdA-groene-parkeerplaatsen-gewijzigd-ondertekend	https://purmerend.notubiz.nl/document/12278191/1#search=%22klimaatadaptatie%22	24-11-2022	document	Moties en amendementen	purmerend_12278191
40	A1. Amendement-GBP-PvdA-groene-parkeerplaatsen	https://purmerend.notubiz.nl/document/12100547/1#search=%22klimaatadaptatie%22	24-11-2022	document	Moties en amendementen	purmerend_12100547
41	A1 -verworpen-amendement-GBP-PvdA-groene-parkeerplaatsen-ondertekend	https://purmerend.notubiz.nl/document/12278149/1#search=%22klimaatadaptatie%22	24-11-2022	document	Moties en amendementen	purmerend_12278149
42	f. Presentatie 22-1-2020 Kadernota en Ambitiedocument Twiske-Waterland	https://purmerend.notubiz.nl/document/8400783/1#search=%22klimaatadaptatie%22	29-01-2020	document	Agendavoorraad	purmerend_8400783
43	B Notitie natuurinclusief bouwen en ontwerpen	https://purmerend.notubiz.nl/document/10130753/2#search=%22klimaatadaptatie%22	14-05-2021	document	Agendavoorraad	purmerend_10130753
44	20190506 Provincie Noord-Holland - Uitnodiging en programma Bestuurlijk congres Omgevingsverordening 13 juni 2019	https://purmerend.notubiz.nl/document/7801958/1#search=%22klimaatadaptatie%22	06-05-2019	document	Ingekomen stukken	purmerend_7801958
45	200122 presentatie Kadernota en Ambitiedocument TW met2	https://purmerend.notubiz.nl/document/8391957/1#search=%22klimaatadaptatie%22	22-01-2020	document	Agendapunt	purmerend_8391957
46	200122 presentatie Kadernota en Ambitiedocument TW met2	https://purmerend.notubiz.nl/document/8385713/1#search=%22klimaatadaptatie%22	22-01-2020	document	Evenement	purmerend_8385713
