Unnamed: 0	document_name	url	date	format	type_doc	unique_id
0	Klimaatadaptatie en resilience	https://rotterdam.notubiz.nl/document/4617859/5#search=%22klimaatadaptatie%22	29-10-2014	document	schriftelijke vragen	rotterdam_4617859
1	Klimaatadaptatie en resilience (antwoord)	https://rotterdam.notubiz.nl/document/4617860/5#search=%22klimaatadaptatie%22	29-10-2014	document	schriftelijke vragen	rotterdam_4617860
2	Vervolgvragen klimaatadaptatie en resilience	https://rotterdam.notubiz.nl/document/4098610/5#search=%22klimaatadaptatie%22	08-10-2015	document	schriftelijke vragen	rotterdam_4098610
3	Vervolgvragen klimaatadaptatie en resilience (tussenantwoord)	https://rotterdam.notubiz.nl/document/4098611/5#search=%22klimaatadaptatie%22	08-10-2015	document	schriftelijke vragen	rotterdam_4098611
4	Vervolgvragen klimaatadaptatie en resilience (antwoord)	https://rotterdam.notubiz.nl/document/4098612/5#search=%22klimaatadaptatie%22	08-10-2015	document	schriftelijke vragen	rotterdam_4098612
5	21bb16401 Wethoudersbrief Karremans over Subsidieregeling klimaatadaptatie 2022	https://rotterdam.notubiz.nl/document/10972671/1#search=%22klimaatadaptatie%22	23-12-2021	document	Ingekomen stukken	rotterdam_10972671
6	20bb18237 Wethoudersbrief Wijbenga over subsidieregeling klimaatadaptatie 2021	https://rotterdam.notubiz.nl/document/9507820/1#search=%22klimaatadaptatie%22	03-12-2020	document	Ingekomen stukken	rotterdam_9507820
7	20bb18238 Bijlage behorende bij 20bb18237 - Subsidieregeling klimaatadaptatie	https://rotterdam.notubiz.nl/document/9507821/1#search=%22klimaatadaptatie%22	03-12-2020	document	Ingekomen stukken	rotterdam_9507821
8	20bb3255 Ruimte voor detailhandel, bedrijven en kantoren – klimaatadaptatie	https://rotterdam.notubiz.nl/document/8600481/1#search=%22klimaatadaptatie%22	08-04-2020	document	Agendapunt	rotterdam_8600481
9	19bb23809 Collegebrief over subsidieregeling klimaatadaptatie en overgang groene daken regeling	https://rotterdam.notubiz.nl/document/8222936/1#search=%22klimaatadaptatie%22	27-11-2019	document	Ingekomen stukken	rotterdam_8222936
10	15bb8975 Vertragingsbericht klimaatadaptatie en resilience en klimaatbeleid 15bb8083 en 15bb8201	https://rotterdam.notubiz.nl/document/4142201/3#search=%22klimaatadaptatie%22	11-11-2015	document	Ingekomen stukken	rotterdam_4142201
11	19bb11342 Bijlage 1 behorende bij 19bb11340 over bestuursakkoord klimaatadaptatie	https://rotterdam.notubiz.nl/document/7279831/1#search=%22klimaatadaptatie%22	29-01-2019	document	Ingekomen stukken	rotterdam_7279831
12	9. Motie 3 Energietransitie, klimaatadaptatie en biodiversiteit hand in hand	https://rotterdam.notubiz.nl/vergadering/686557#ai_5559942	01-10-2020	Agendapunt	Evenement	rotterdam_686557
13	20bb3241 Afdoening toezegging Wethouder Kathmann over borging klimaatadaptatie in nota bedrijfruimte	https://rotterdam.notubiz.nl/document/8532482/1#search=%22klimaatadaptatie%22	10-03-2020	document	Ingekomen stukken	rotterdam_8532482
14	15bb9185 Beantwoording schriftelijke vragen van De Kleijn en Weerdmeester over klimaatadaptatie en resilience	https://rotterdam.notubiz.nl/document/4142666/3#search=%22klimaatadaptatie%22	02-12-2015	document	Ingekomen stukken	rotterdam_4142666
15	20bb3241 Afdoening toezegging Wethouder Kathmann over borging klimaatadaptatie in nota bedrijfruimte	https://rotterdam.notubiz.nl/document/8532477/1#search=%22klimaatadaptatie%22	12-03-2020	document	Agendapunt	rotterdam_8532477
16	19bb11340 Brief van VNG over bestuursakkoord klimaatadaptatie en aanvullende bestuurlijke afspraken water	https://rotterdam.notubiz.nl/document/7279830/1#search=%22klimaatadaptatie%22	29-01-2019	document	Ingekomen stukken	rotterdam_7279830
17	20bb14974 9. Motie 3 Energietransitie, klimaatadaptatie en biodiversiteit hand in hand (verworpen)	https://rotterdam.notubiz.nl/document/9222012/5#search=%22klimaatadaptatie%22	01-10-2020	document	Agendapunt	rotterdam_9222012
