document_name	url	description	date	unique_id
[24bb004629] Bijlage 7 behorende bij 24bb004640 over Mer-beoordelingsbesluit Katendrecht Pols Noord OW versie 02	https://gemeenteraad.rotterdam.nl/Agenda/Document/aa4caefe-9134-41a3-84f6-8b685e79ed74?documentId=ec52b309-f1ee-4654-833d-2abbc3578fd0&agendaItemId=f8400876-a7a1-4d10-a4d1-fa6789ecb91e	"17 september 2024 -- Potentieel effect Nee Aspect Risico's voor overstroming van het plangebied Toetsingskader of Klimaatadaptatie strategie Katendrecht gemeente Rotterdam: beleidskader - Aanpassing uitgiftepeilenbeleid aangevuld met risicobeheersing; - Uitgiftepeil NAP +3,80 meter - Voor vitale infrastructuur en kwetsbare gebouwen: NAP +4, 1 O meter Blad 14 van 21 Ons kenmerk 2520237_ 6018761 Effecten Het plangebied ligt buitendijks. Subcommissie bestemmingsplannen Commissie Bouwen, Wonen en Buitenruimte (2022-2026): Hoorzitting diverse bestemmingsplannen - dinsdag 17 september 2024 00:00 - 2.01. Hoorzitting"	17-Sep-24	rot_2_4bb004629
[24bb004625] Bijlage 3 behorende bij 24bb004640 over ontwerp PBP \u201cCodrico ontwikkeling\u201d Toelichting	https://gemeenteraad.rotterdam.nl/Agenda/Document/aa4caefe-9134-41a3-84f6-8b685e79ed74?documentId=9dd9f461-d5f8-432f-88bd-7ebee64ac45d&agendaItemId=f8400876-a7a1-4d10-a4d1-fa6789ecb91e	"17 september 2024 -- In de NOVI zijn de opgaven als volgt ingedeeld: \xbb ruimte maken voor klimaatadaptatie en energietransitie; \xbb verduurzamen van de economie en behouden van groeipotentieel; \xbb sterker en leefbaarder maken van steden en regio's; \xbb toekomstbestendig ontwikkelen van landelijk gebied. Vergroening is daarbij een belangrijk speerpunt met het oog op klimaatadaptatie en een prettige leefomgeving. Focus op verduurzaming (energietransitie, circulariteit en klimaatadaptatie), en op: b. Duurzaamheid, klimaatadaptatie en natuurinclusiviteit Duurzaamheid is een belangrijk thema voor de leefbaarheid in Rotterdam. Klimaatadaptatie, het aanpassen van Rotterdam aan die verandering, is nodig. Subcommissie bestemmingsplannen Commissie Bouwen, Wonen en Buitenruimte (2022-2026): Hoorzitting diverse bestemmingsplannen - dinsdag 17 september 2024 00:00 - 2.01. Hoorzitting"	17-Sep-24	rot_2_4bb004625
[24bb005184] Bijlage 1 behorende bij 24bb005183 - Ontwerpbestemmingsplan Hoge Wiek Rotterdam	https://gemeenteraad.rotterdam.nl/Agenda/Document/aa4caefe-9134-41a3-84f6-8b685e79ed74?documentId=6e83dda9-ee02-4fe5-bf20-0644b8d5db86&agendaItemId=f978e0c8-9c1e-44af-9ce3-8e767cb5db1a	"17 september 2024 -- Ruimte voor klimaatadaptatie en energietransitie 2. Klimaatadaptatie, het aanpassen van Rotterdam aan die verandering, is nodig. Subcommissie bestemmingsplannen Commissie Bouwen, Wonen en Buitenruimte (2022-2026): Hoorzitting diverse bestemmingsplannen - dinsdag 17 september 2024 00:00 - 3.01. Hoorzitting"	17-Sep-24	rot_2_4bb005184
[24bb004637] Bijlage 13 behorende bij 24bb004640 over NvU Codrico	https://gemeenteraad.rotterdam.nl/Agenda/Document/aa4caefe-9134-41a3-84f6-8b685e79ed74?documentId=f82af861-859a-4a80-a718-1a709bdfdeae&agendaItemId=f8400876-a7a1-4d10-a4d1-fa6789ecb91e	"17 september 2024 -- Hoewel de zes thema\u2019s van klimaatadaptatie elk een eigen aanpak nodig hebben, kunnen de benodigde maatregelen elkaar versterken of be- lemmeren. Hoewel de zes thema\u2019s van klimaatadaptatie elk een eigen aanpak nodig hebben, kunnen de benodigde maatregelen elkaar versterken of be- lemmeren. Subcommissie bestemmingsplannen Commissie Bouwen, Wonen en Buitenruimte (2022-2026): Hoorzitting diverse bestemmingsplannen - dinsdag 17 september 2024 00:00 - 2.01. Hoorzitting"	17-Sep-24	rot_2_4bb004637
[24bb004630] Bijlage 8 behorende bij 24bb004640 over aanmeldingsnotitie m.e.r. -beoordeling Pols-Noord	https://gemeenteraad.rotterdam.nl/Agenda/Document/aa4caefe-9134-41a3-84f6-8b685e79ed74?documentId=258fd399-3128-4c6e-8c14-b9b0c676b794&agendaItemId=f8400876-a7a1-4d10-a4d1-fa6789ecb91e	"17 september 2024 -- Om tot een klimaatbestendige omgeving te komen zal ingezet moeten worden op klimaatadaptatie. In beleidsvisies is klimaatadaptatie al sterk vertegenwoordigd. Door de beoogde herontwikkeling zal een aantrekkelijk gebied gerealiseerd worden, waarbij klimaatadaptatie, biodiversiteit en natuurinclusiviteit in de plannen wordt betrokken. In het kader van de 'Klimaatadaptatie strategie Katendrecht gemeente Rotterdam' uit 2024, zoals opgesteld door Defacto Stedenbouw, zijn diverse scenario's doorgerekend. Groen heeft positieve effecten op de gezondheid van personen, en draagt ook bij aan de opgaven in relatie tot klimaatadaptatie. Subcommissie bestemmingsplannen Commissie Bouwen, Wonen en Buitenruimte (2022-2026): Hoorzitting diverse bestemmingsplannen - dinsdag 17 september 2024 00:00 - 2.01. Hoorzitting"	17-Sep-24	rot_2_4bb004630
[24bb005311] Aanvraag Regeling van werkzaamheden Bruin ea over water in relatie tot bouwen en wonen	https://gemeenteraad.rotterdam.nl/Agenda/Document/95e8eaef-0661-45d9-9415-d243675dc507?documentId=08484d3e-3c43-4508-bfc4-e4d9235c8e3f&agendaItemId=c25ccdf2-7fa0-4fd1-9833-d5b97d0dd635	"28 augustus 2024 -- Dit vraagt om een integrale aanpak waarbij we zowel preventieve maatregelen treffen als inspelen op de nieuwste inzichten en innovaties in waterbeheer en klimaatadaptatie. Commissie Bouwen, Wonen en Buitenruimte (2022-2026): Reguliere commissievergadering - woensdag 28 augustus 2024 00:00 - 1.05.01. Regeling van werkzaamheden"	28 augustus 2024 	rot_2_4bb005311
[24bb003507] Bijlage 1 behorende bij 24bb003515 - Ontwerpbestemmingsplan De Kaai	https://gemeenteraad.rotterdam.nl/Agenda/Document/95e8eaef-0661-45d9-9415-d243675dc507?documentId=a72a48b9-21a4-4059-a74a-38e62e9cbdf4&agendaItemId=6a24d65a-9fea-4d53-b66b-adf839fb8b81	"28 augustus 2024 -- Ruimte voor klimaatadaptatie en energietransitie 2. Daarnaast is de locatie aangewezen als een focusgebied in de aanpak voor klimaatadaptatie. Focus op verduurzaming (energietransitie, circulariteit en klimaatadaptatie), en op: b. De volumes en het daklandschap zien eruit zoals in figuur 3.16 is weergegeven. 51 Figuur 3.16: Plankaart daklandschap en bouwhoogten (bron: Stedenbouwkundig plan De Kaai) Duurzaamheid, klimaatadaptatie en natuurinclusiviteit Duurzaamheid is een belangrijk voor de leefbaarheid in Rotterdam. Klimaatadaptatie, het aanpassen van Rotterdam aan die verandering, is nodig. Commissie Bouwen, Wonen en Buitenruimte (2022-2026): Reguliere commissievergadering - woensdag 28 augustus 2024 00:00 - 2.05. Bestemmingsplan De Kaai"	28 augustus 2024 	rot_2_4bb003507
[24bb003742] Bijlage 1 behorende bij 24bb003750 over ontwerpbestemmingsplan Windwinning Hoeksebaan	https://gemeenteraad.rotterdam.nl/Agenda/Document/95e8eaef-0661-45d9-9415-d243675dc507?documentId=bd1594e1-1616-4e5d-8f19-be071e895b7e&agendaItemId=88553efa-ca15-4481-8fd2-b049137983f4	"28 augustus 2024 -- Samen met de gemeenten en andere partners werkt Delfland aan klimaatadaptatie. Wateraspecten die van belang zijn bij het opstellen van een ruimtelijk plan zijn onderverdeeld naar de volgende thema\u2019s: \xbb Stevige dijken: Veiligheid en waterkeringen; \xbb Voldoende water: Voorkomen van wateroverlast, Grondwater en voorkomen van (zoet)watertekort, Onderhoud en bagger; \xbb Schoon water: Watersysteemkwaliteit en ecologie; \xbb Gezuiverd afvalwater: Afvalwaterketen; \xbb Klimaatadaptatie. Klimaatadaptie Binnen het beheergebied van Delfland zijn diverse beleidskaders en strategie\xebn op het gebied van klimaatadaptatie vastgesteld. Klimaatadaptatie Windmolens produceren geen CO2. Commissie Bouwen, Wonen en Buitenruimte (2022-2026): Reguliere commissievergadering - woensdag 28 augustus 2024 00:00 - 2.06. Bestemmingsplan Windwinning Hoeksebaan"	28 augustus 2024 	rot_2_4bb003742
[24bb003508] Bijlage 2 behorende bij 24bb003515 - Bijlagenboek ontwerp bp De Kaai	https://gemeenteraad.rotterdam.nl/Agenda/Document/95e8eaef-0661-45d9-9415-d243675dc507?documentId=3d8d25dc-1d7f-4746-b74b-f93e99aa3eb1&agendaItemId=6a24d65a-9fea-4d53-b66b-adf839fb8b81	"28 augustus 2024 -- We voegen ook diverse soorten bomen toe die bijdragen aan biodiversiteit, klimaatadaptatie en die beschutting en schaduw bieden op hete dagen. Duurzaamheid bij De kaai wordt in zes thema\u2019s omschreven: de leefbare stad, klimaatadaptatie, natuurinclu- siviteit, energie, circulariteit en \ufb02exibiliteit. Ambities, uitgangspunten en onderzoeksvragen Erfgoed Landschap en openbare ruimte Programma niet-wonen Programma wonen Mobiliteit Ecologie en duurzaamheid Klimaatadaptatie 4. LEGENDA: VERSTEDELIJKEN & VERBINDEN TOEKOMSTBESTENDIGE WIJKEN We gaan in de wijken integraal aan de slag met een brede kwaliteitsopgave: sociaal-maatschappelijk, economisch, verduurzaming, klimaatadaptatie en bodemdaling. Verschillende (collectieve) daklandschappen dragen bij aan klimaatadaptatie door het vasthouden van regenwater en het beleefbaar maken van stadsnatuur. Commissie Bouwen, Wonen en Buitenruimte (2022-2026): Reguliere commissievergadering - woensdag 28 augustus 2024 00:00 - 2.05. Bestemmingsplan De Kaai"	28 augustus 2024 	rot_2_4bb003508
[24bb004774] Raadsvoorstel over vaststelling ontwerpbestemmingsplan Park OverdeSchie	https://gemeenteraad.rotterdam.nl/Agenda/Document/977bfaa6-1696-4e9d-a6d6-19e15029a253?documentId=784fb45e-9549-43ac-9907-0b0b729b6caf&agendaItemId=b8802caa-3c46-42c6-98af-3ddffa6cb3f6	"27 augustus 2024 -- Het Sidelingepark krijgt een belangrijke rol in een gezonder Overschie, als centrale ontmoetingsplek voor jong en oud en voor spelen, sporten, cultuur, natuur en klimaatadaptatie. Subcommissie bestemmingsplannen Commissie Bouwen, Wonen en Buitenruimte (2022-2026): Hoorzitting diverse bestemmingsplannen - dinsdag 27 augustus 2024 00:00 - 3.01. Hoorzitting"	27 augustus 2024 	rot_2_4bb004774
