Unnamed: 0	document_name	url	date	format	type_doc	unique_id
0	191119 Klimaatadaptatie	https://uitgeest.notubiz.nl/document/8193367/1#search=%22klimaatadaptatie%22	19-11-2019	document	Dossiers	uitgeest_8193367
1	Bijlage 2 Visual klimaatadaptatie	https://uitgeest.notubiz.nl/document/10011697/1#search=%22klimaatadaptatie%22	27-05-2021	document	Agendapunt	uitgeest_10011697
2	220321C.2 Bijlage 2 Bestuurlijke samenvatting Klimaatadaptatie	https://uitgeest.notubiz.nl/document/11319898/1#search=%22klimaatadaptatie%22	25-03-2022	document	Agendapunt	uitgeest_11319898
3	220321C.2 Bijlage 2 Bestuurlijke samenvatting Klimaatadaptatie	https://uitgeest.notubiz.nl/document/11322031/1#search=%22klimaatadaptatie%22	18-09-2024	document	Dossiers	uitgeest_11322031
4	Beleidsplan klimaatadaptatie en natuurinclusief bouwen met uitvoeringsprogramma 2023-2026	https://uitgeest.notubiz.nl/vergadering/1035144#ai_7341926	16-02-2023	Agendapunt	Evenement	uitgeest_1035144
5	Rv beleidsplan klimaatadaptatie en natuurinclusief bouwen 23-26 GETEKEND	https://uitgeest.notubiz.nl/document/12453581/1#search=%22klimaatadaptatie%22	16-02-2023	document	Agendapunt	uitgeest_12453581
6	Rb beleidsplan klimaatadaptatie en natuurinclusief bouwen 23-26 GETEKEND	https://uitgeest.notubiz.nl/document/12453580/1#search=%22klimaatadaptatie%22	16-02-2023	document	Agendapunt	uitgeest_12453580
7	Beleidsplan klimaatadaptatie en natuurinclusief bouwen met uitvoeringsprogramma 2023-2026	https://uitgeest.notubiz.nl/vergadering/1035142#ai_7340273	07-02-2023	Agendapunt	Evenement	uitgeest_1035142
8	240711A RIB Samenwerking Waterketen en Klimaatadaptatie regio Alkmaar	https://uitgeest.notubiz.nl/document/14388835/2#search=%22klimaatadaptatie%22	18-09-2024	document	Dossiers	uitgeest_14388835
9	Uitnodiging van Klimaatverbond voor cursussen klimaatadaptatie en aardgasvrije weken in mei en juni	https://uitgeest.notubiz.nl/document/6351489/1#search=%22klimaatadaptatie%22	06-04-2018	document	Agendapunt	uitgeest_6351489
10	IJsbaanterrein model 3 en model 4	https://uitgeest.notubiz.nl/document/10781922/1#search=%22klimaatadaptatie%22	18-11-2021	document	Agendapunt	uitgeest_10781922
11	211222A Raadsinformatiebrief Intentieovereenkomst klimaatbestendige nieuwbouw	https://uitgeest.notubiz.nl/document/10969407/1#search=%22klimaatadaptatie%22	18-09-2024	document	Dossiers	uitgeest_10969407
12	Printversie agenda	https://uitgeest.notubiz.nl/document/12441310/1#search=%22klimaatadaptatie%22	16-02-2023	document	Agendapunt	uitgeest_12441310
13	Printversie agenda	https://uitgeest.notubiz.nl/document/12406529/1#search=%22klimaatadaptatie%22	07-02-2023	document	Agendapunt	uitgeest_12406529
14	03-09-2019 Presentatie Programma	https://uitgeest.notubiz.nl/document/7971481/1#search=%22klimaatadaptatie%22	03-09-2019	document	Agendapunt	uitgeest_7971481
15	RAADSVOORSTEL	https://uitgeest.notubiz.nl/document/12336228/1#search=%22klimaatadaptatie%22	16-02-2023	document	Agendapunt	uitgeest_12336228
16	D Uitvoering duurzaamheid en milieu Uitgeest 2018 (int17 3270)	https://uitgeest.notubiz.nl/document/6041337/1#search=%22klimaatadaptatie%22	09-01-2018	document	Agendapunt	uitgeest_6041337
17	D Uitvoering duurzaamheid en milieu Uitgeest 2018 (int17 3270)	https://uitgeest.notubiz.nl/document/6050663/2#search=%22klimaatadaptatie%22	25-01-2018	document	Agendapunt	uitgeest_6050663
18	C Ruimtelijke uitgangspunten Limmerkoog met kaartje int 19.2010	https://uitgeest.notubiz.nl/document/8369418/1#search=%22klimaatadaptatie%22	20-01-2020	document	Agendapunt	uitgeest_8369418
19	C bijlage Ruimtelijke uitgangspunten Limmerkoog S int19.2010 10	https://uitgeest.notubiz.nl/document/8311923/1#search=%22klimaatadaptatie%22	14-01-2020	document	Agendapunt	uitgeest_8311923
20	Raadsvoorstel Klimaatadaptatiestrategie en uitvoeringsagenda regio Alkmaar	https://uitgeest.notubiz.nl/document/10011698/1#search=%22klimaatadaptatie%22	27-05-2021	document	Agendapunt	uitgeest_10011698
21	BIJLAGE 2g Regio Alkmaar	https://uitgeest.notubiz.nl/document/13103047/1#search=%22klimaatadaptatie%22	07-09-2023	document	Agendapunt	uitgeest_13103047
