Unnamed: 0	document_name	url	date	format	type_doc	unique_id
0	24 woningen aan Dwarsweg Rockanje	https://voorneaanzee.notubiz.nl/document/14194192/2#search=%22klimaatadaptatie%22	01-05-2024	document	Ingekomen stukken	voorneaanzee_14194192
1	Raadsvoorstel vaststellen Speelruimtevisie	https://voorneaanzee.notubiz.nl/document/14316781/2#search=%22klimaatadaptatie%22	02-07-2024	document	Agendapunt	voorneaanzee_14316781
2	Conceptraadsbesluit	https://voorneaanzee.notubiz.nl/document/14165794/3#search=%22klimaatadaptatie%22	30-05-2024	document	Agendapunt	voorneaanzee_14165794
3	conceptaadsbesluit	https://voorneaanzee.notubiz.nl/document/14046566/3#search=%22klimaatadaptatie%22	15-05-2024	document	Agendapunt	voorneaanzee_14046566
4	2023-258 Raadsinformatiebrief project De Boomgaard fase 1 (Beaugaard)	https://voorneaanzee.notubiz.nl/document/13553543/1#search=%22klimaatadaptatie%22	30-11-2023	document	Ingekomen stukken	voorneaanzee_13553543
5	Duurzaamheidslening kleine VvE's VAZ bijlage collegevoorstel	https://voorneaanzee.notubiz.nl/document/13195663/3#search=%22klimaatadaptatie%22	03-10-2023	document	Agendapunt	voorneaanzee_13195663
6	Duurzaamheidslening kleine VvE's VAZ bijlage collegevoorstel	https://voorneaanzee.notubiz.nl/document/13080111/3#search=%22klimaatadaptatie%22	18-09-2023	document	Agendapunt	voorneaanzee_13080111
7	Brief SamenSpeelFonds bijlage	https://voorneaanzee.notubiz.nl/document/12963900/1#search=%22klimaatadaptatie%22	03-07-2023	document	Ingekomen stukken	voorneaanzee_12963900
8	Een veerkrachtige gemeente	https://voorneaanzee.notubiz.nl/document/12502537/2#search=%22klimaatadaptatie%22	01-03-2023	document	Ingekomen stukken	voorneaanzee_12502537
9	Duurzaamheidslening kleine VvE's in VaZ raadsvoorstel	https://voorneaanzee.notubiz.nl/document/13201098/2#search=%22klimaatadaptatie%22	03-10-2023	document	Agendapunt	voorneaanzee_13201098
