Unnamed: 0	document_name	url	date	format	type_doc	unique_id
0	Klimaatadaptatie	https://zaanstad.notubiz.nl/vergadering/286828#ai_2504017	10-05-2016	Agendapunt	Evenement	zaanstad_286828
1	Bestuursopdracht Klimaatadaptatie	https://zaanstad.notubiz.nl/document/8955642/1#search=%22klimaatadaptatie%22	02-07-2020	document	Collegeberichten	zaanstad_8955642
2	Klimaatadaptatie Zaanstad	https://zaanstad.notubiz.nl/document/10259202/1#search=%22klimaatadaptatie%22	11-06-2021	document	Ingekomen brieven	zaanstad_10259202
3	Omgevingscarré klimaatadaptatie	https://zaanstad.notubiz.nl/vergadering/666139#ai_4906295	26-09-2019	Agendapunt	Evenement	zaanstad_666139
4	Klimaatadaptatie v2	https://zaanstad.notubiz.nl/document/8002874/1#search=%22klimaatadaptatie%22	26-09-2019	document	Agendapunt	zaanstad_8002874
5	Uitvoeringsplan klimaatadaptatie 2021-2026	https://zaanstad.notubiz.nl/document/10089774/1#search=%22klimaatadaptatie%22	04-05-2021	document	Agendavoorraad	zaanstad_10089774
6	Motie 2 website klimaatadaptatie	https://zaanstad.notubiz.nl/document/4562949/1#search=%22klimaatadaptatie%22	10-11-2016	document	Agendapunt	zaanstad_4562949
7	Vragen ROSA - Klimaatadaptatie	https://zaanstad.notubiz.nl/document/3462773/2#search=%22klimaatadaptatie%22	13-05-2016	document	Schriftelijke vragen	zaanstad_3462773
8	Vragen ROSA - Klimaatadaptatie (antwoord)	https://zaanstad.notubiz.nl/document/3611625/2#search=%22klimaatadaptatie%22	13-05-2016	document	Schriftelijke vragen	zaanstad_3611625
9	Uitvoeringsplan klimaatadaptatie 2021-2026	https://zaanstad.notubiz.nl/vergadering/814550#ai_6066182	10-06-2021	Agendapunt	Evenement	zaanstad_814550
10	Zaanstad en Klimaatadaptatie	https://zaanstad.notubiz.nl/document/3447657/5#search=%22klimaatadaptatie%22	10-05-2016	document	Agendapunt	zaanstad_3447657
11	Uitnodiging Themabijeenkomst Klimaatadaptatie	https://zaanstad.notubiz.nl/document/3401981/5#search=%22klimaatadaptatie%22	25-04-2016	document	Agendapunt	zaanstad_3401981
12	Vraag en antwoord klimaatadaptatie	https://zaanstad.notubiz.nl/vergadering/827208#ai_5832804	16-02-2021	Agendapunt	Conferentie Klimaatadaptie en Energietransitie.	zaanstad_827208
13	Voorlichtingsprogramma Klimaatadaptatie 2019	https://zaanstad.notubiz.nl/document/7395358/1#search=%22klimaatadaptatie%22	07-03-2019	document	Collegeberichten	zaanstad_7395358
14	20190926 Afsprakenlijst Omgevingscarré Klimaatadaptatie	https://zaanstad.notubiz.nl/document/8008487/1#search=%22klimaatadaptatie%22	26-09-2019	document	Agendapunt	zaanstad_8008487
15	Presentatie UP Klimaatadaptatie Zaanstad (1)	https://zaanstad.notubiz.nl/document/9757688/1#search=%22klimaatadaptatie%22	16-02-2021	document	Agendapunt	zaanstad_9757688
16	Motie vreemd - Positieve stimulans klimaatadaptatie.	https://zaanstad.notubiz.nl/document/8950568/2#search=%22klimaatadaptatie%22	30-06-2020	document	Moties en amendementen	zaanstad_8950568
17	Vaststellen Uitvoeringsplan klimaatadaptatie 2021-2026	https://zaanstad.notubiz.nl/vergadering/780448#ai_6140848	08-07-2021	Agendapunt	Evenement	zaanstad_780448
18	Klimaatadaptatie en een groen Zaanstad	https://zaanstad.notubiz.nl/vergadering/785661	28-10-2020	0	0	zaanstad_785661
19	Amendement B No harm bij UP Klimaatadaptatie	https://zaanstad.notubiz.nl/document/10382186/2#search=%22klimaatadaptatie%22	08-07-2021	document	Moties en amendementen	zaanstad_10382186
20	Amendement A Klimaatadaptatie in de polder	https://zaanstad.notubiz.nl/document/10374412/3#search=%22klimaatadaptatie%22	06-07-2021	document	Moties en amendementen	zaanstad_10374412
21	Raadsvoorstel Vaststellen Uitvoeringsplan klimaatadaptatie 2021-2026	https://zaanstad.notubiz.nl/document/10089773/1#search=%22klimaatadaptatie%22	04-05-2021	document	Agendavoorraad	zaanstad_10089773
22	Raadsbesluit Vaststellen uitvoeringsplan Klimaatadaptatie 2021-2026	https://zaanstad.notubiz.nl/document/10390763/1#search=%22klimaatadaptatie%22	08-07-2021	document	Agendapunt	zaanstad_10390763
23	Zaanstad Beraad Conferentie Klimaatadaptatie en Energietransitie	https://zaanstad.notubiz.nl/vergadering/827206	16-02-2021	0	0	zaanstad_827206
24	Amendement A Kader Klimaatadaptatie bij Startnotitie Inlopen onderhoudsachterstanden openbare ruimte	https://zaanstad.notubiz.nl/document/10375092/2#search=%22klimaatadaptatie%22	06-07-2021	document	Moties en amendementen	zaanstad_10375092
25	Vaststellen Uitvoeringsplan klimaatadaptatie 2021-2026, Meer ruimte voor groen & blauw	https://zaanstad.notubiz.nl/document/10089772/1#search=%22klimaatadaptatie%22	04-05-2021	document	Agendavoorraad	zaanstad_10089772
26	19 09 18 Samen Slimmer 2018 Kansen en Kopzorgen klimaatadaptatie	https://zaanstad.notubiz.nl/document/6786330/1#search=%22klimaatadaptatie%22	19-09-2018	document	Evenement	zaanstad_6786330
27	Klimaat Verbond Nederland Cususdag - klimaatadaptatie en aardgasvrije wijken	https://zaanstad.notubiz.nl/vergadering/507395	01-06-2018	0	0	zaanstad_507395
28	Themabijeenkomst Klimaatadaptatie (klik op Zaanstad Beraad voor details)	https://zaanstad.notubiz.nl/vergadering/286829	10-05-2016	0	0	zaanstad_286829
29	Motie vreemd aan de orde: Positieve stimulans klimaatadaptatie	https://zaanstad.notubiz.nl/vergadering/664023#ai_5416923	02-07-2020	Agendapunt	Evenement	zaanstad_664023
30	2020-10-28 tafel Klimaatadaptatie en een groen Zaanstad	https://zaanstad.notubiz.nl/document/9289417/1#search=%22klimaatadaptatie%22	28-10-2020	document	Evenement	zaanstad_9289417
31	Beheer buitenruimte - Onderhoud openbare ruimte/verkeersveiligheid (ZIP DZ GL) - Wateroverlast/klimaatadaptatie (PvdA GL)	https://zaanstad.notubiz.nl/vergadering/295708#ai_2573431	02-06-2016	Agendapunt	Evenement	zaanstad_295708
32	Verduurzaming en ruimtelijke keuzes voor Zaanstad: energietransitie en klimaatadaptatie en de mogelijke ruimtelijke impact daarvan.	https://zaanstad.notubiz.nl/vergadering/931310#ai_6437331	21-12-2021	Agendapunt	Werksessie Omgevingsvisie	zaanstad_931310
33	Motie 5 Informatie over het belang van klimaatadaptatie meesturen met bevestiging inschrijving	https://zaanstad.notubiz.nl/document/5885171/1#search=%22klimaatadaptatie%22	09-11-2017	document	Agendapunt	zaanstad_5885171
34	Inleiding Friso van Abbema - project leider klimaatadaptie Zaanstad / Onderwerp: Verbinding en onderscheid tussen klimaatadaptatie en energietransitie. Korte toelichting bij proces afgelopen driekwart jaar en de toegestuurde (film van) presentatie over klimaatadaptatie.	https://zaanstad.notubiz.nl/vergadering/827208#ai_5832786	16-02-2021	Agendapunt	Conferentie Klimaatadaptie en Energietransitie.	zaanstad_827208
35	Vragen ROSA - Klimaatadaptatie	https://zaanstad.notubiz.nl/modules/4/Schriftelijke%20vragen/122999	13-05-2016	0	0	zaanstad_4
36	Bestuursopdracht Klimaatadaptatie	https://zaanstad.notubiz.nl/modules/5/Collegeberichten/591592	02-07-2020	0	0	zaanstad_5
37	Voorlichtingsprogramma Klimaatadaptatie 2019	https://zaanstad.notubiz.nl/modules/5/Collegeberichten/500176	07-03-2019	0	0	zaanstad_5
38	Amendement A Klimaatadaptatie in de polder	https://zaanstad.notubiz.nl/modules/6/Moties%20en%20amendementen%20/683908	06-07-2021	0	0	zaanstad_6
39	Vaststellen Uitvoeringsplan klimaatadaptatie 2021-2026, Meer ruimte voor groen & blauw	https://zaanstad.notubiz.nl/modules/3/Agendavoorraad/667829	04-05-2021	0	0	zaanstad_3
40	Amendement B No harm bij UP Klimaatadaptatie	https://zaanstad.notubiz.nl/modules/6/Moties%20en%20amendementen%20/684520	08-07-2021	0	0	zaanstad_6
41	Amendement C Klimaatadaptatie Overbodige verharding verwijderen	https://zaanstad.notubiz.nl/modules/6/Moties%20en%20amendementen%20/684607	08-07-2021	0	0	zaanstad_6
42	Motie vreemd - Positieve stimulans klimaatadaptatie	https://zaanstad.notubiz.nl/modules/6/Moties%20en%20amendementen%20/591099	30-06-2020	0	0	zaanstad_6
43	Conferentie Klimaatadaptie en Energietransitie.	https://zaanstad.notubiz.nl/vergadering/827208#ai_5830482	16-02-2021	Agendapunt	Evenement	zaanstad_827208
44	Motie Klimaatbestendig Stadhuisplein	https://zaanstad.notubiz.nl/modules/6/Moties%20en%20amendementen%20/684332	07-07-2021	0	0	zaanstad_6
45	Amendement A Kader Klimaatadaptatie bij Startnotitie Inlopen onderhoudsachterstanden openbare ruimte_	https://zaanstad.notubiz.nl/modules/6/Moties%20en%20amendementen%20/683975	06-07-2021	0	0	zaanstad_6
46	Programma 5 Milieu en Duurzaamheid --> klik op de i voor de debatpunten	https://zaanstad.notubiz.nl/vergadering/427673#ai_3422679	01-06-2017	Agendapunt	Evenement	zaanstad_427673
47	Programma 6 Beheer Buitenruimte. 21.00 uur RAADZAAL	https://zaanstad.notubiz.nl/vergadering/468238#ai_3667865	02-11-2017	Agendapunt	Evenement	zaanstad_468238
48	Programma Conferentie Klimaatadaptie en Energietransitie	https://zaanstad.notubiz.nl/document/9738512/3#search=%22klimaatadaptatie%22	16-02-2021	document	Agendapunt	zaanstad_9738512
49	Klimaatadaptatie Zaanstad	https://zaanstad.notubiz.nl/modules/1/Ingekomen%20brieven/677236	11-06-2021	0	0	zaanstad_1
50	Presentatie regionale raadsledenbijeenkomst klimaat adaptatieplan	https://zaanstad.notubiz.nl/document/9201357/1#search=%22klimaatadaptatie%22	23-09-2020	document	Evenement	zaanstad_9201357
51	Motie Klimaatbestendig Stadhuisplein	https://zaanstad.notubiz.nl/document/10378908/2#search=%22klimaatadaptatie%22	07-07-2021	document	Moties en amendementen	zaanstad_10378908
52	Startnotitie Plan van aanpak Inlopen onderhoudsachterstand openbare ruimte	https://zaanstad.notubiz.nl/vergadering/780448#ai_6119229	08-07-2021	Agendapunt	Evenement	zaanstad_780448
53	afsprakenlijstagendainitiatiefdroogte	https://zaanstad.notubiz.nl/document/7673271/1#search=%22klimaatadaptatie%22	07-03-2019	document	Agendapunt	zaanstad_7673271
54	Actualiteitsvragen stopzetten subsidie Duurzaan	https://zaanstad.notubiz.nl/document/8334597/1#search=%22klimaatadaptatie%22	08-01-2020	document	Agendavoorraad	zaanstad_8334597
55	20.30 uur presentatie Zaans Klimaatakkoord in de raad	https://zaanstad.notubiz.nl/document/7219909/1#search=%22klimaatadaptatie%22	10-01-2019	document	Agendapunt	zaanstad_7219909
56	30 11 17 Uitnodiging Watersymposium 2017	https://zaanstad.notubiz.nl/document/5912501/1#search=%22klimaatadaptatie%22	30-11-2017	document	Evenement	zaanstad_5912501
57	20200213 afsprakenlijst agenda-initatief Duurzaamheid	https://zaanstad.notubiz.nl/document/8564879/1#search=%22klimaatadaptatie%22	05-03-2020	document	Agendapunt	zaanstad_8564879
