Unnamed: 0	document_name	url	date	format	type_doc	unique_id
0	Impulsregeling klimaatadaptatie	https://zandvoort.notubiz.nl/vergadering/1079897#ai_7421752	31-01-2023	Agendapunt	Evenement	zandvoort_1079897
1	1. Collegebesluit mpulsregeling klimaatadaptatie	https://zandvoort.notubiz.nl/document/12447572/1#search=%22klimaatadaptatie%22	31-01-2023	document	Agendapunt	zandvoort_12447572
2	Collegebesluit Impulsregeling klimaatadaptatie	https://zandvoort.notubiz.nl/document/12445876/1#search=%22klimaatadaptatie%22	24-01-2023	document	Actieve informatie van het college	zandvoort_12445876
3	Bijlage 3 Regionale actieagenda klimaatadaptatie Zuid-Kennemerland	https://zandvoort.notubiz.nl/document/12445909/1#search=%22klimaatadaptatie%22	24-01-2023	document	Actieve informatie van het college	zandvoort_12445909
4	4. Bijlage 3- Regionale actieagenda klimaatadaptatie Zuid-Kennemerland	https://zandvoort.notubiz.nl/document/12447574/1#search=%22klimaatadaptatie%22	31-01-2023	document	Agendapunt	zandvoort_12447574
5	Impulsregeling klimaatadaptatie	https://zandvoort.notubiz.nl/modules/7/Actieve%20informatie%20van%20het%20college/823337	24-01-2023	0	0	zandvoort_7
6	M.K. El Gebaly (GroenLinks) om 21:19	https://zandvoort.notubiz.nl/vergadering/504091#ai_4080558	03-07-2018	Sprekersmoment	Agendapunt	zandvoort_504091
7	3. Bijlage 2- Projecten Impulsregeling	https://zandvoort.notubiz.nl/document/12447573/1#search=%22klimaatadaptatie%22	31-01-2023	document	Agendapunt	zandvoort_12447573
8	Bijlage 2 Projecten Impulsregeling	https://zandvoort.notubiz.nl/document/12445908/1#search=%22klimaatadaptatie%22	24-01-2023	document	Actieve informatie van het college	zandvoort_12445908
9	2. Bijlage 1- Aanvraagformulier	https://zandvoort.notubiz.nl/document/12447571/1#search=%22klimaatadaptatie%22	31-01-2023	document	Agendapunt	zandvoort_12447571
10	Bijlage 1 Aanvraagformulier	https://zandvoort.notubiz.nl/document/12445878/1#search=%22klimaatadaptatie%22	24-01-2023	document	Actieve informatie van het college	zandvoort_12445878
11	E. Verheij - de Haas om 21:19	https://zandvoort.notubiz.nl/vergadering/504091#ai_4080558	03-07-2018	Sprekersmoment	Agendapunt	zandvoort_504091
12	Mededeling aan de raad beantwoording vragen begroting OD IJmond 2019	https://zandvoort.notubiz.nl/document/6749157/1#search=%22klimaatadaptatie%22	03-07-2018	document	Toezeggingen door het college	zandvoort_6749157
13	Mededeling aan de raad beantwoording vragen begroting OD IJmond 2019	https://zandvoort.notubiz.nl/document/6750611/1#search=%22klimaatadaptatie%22	24-08-2018	document	Raadsinformatiebrieven	zandvoort_6750611
14	Maandelijks MRA Raads- en Statenleden Bericht - editie 49	https://zandvoort.notubiz.nl/document/10114303/2#search=%22klimaatadaptatie%22	11-05-2021	document	Dossiers	zandvoort_10114303
15	Bijlage 2 - Resultatenkaart Zuid-Kennemerland	https://zandvoort.notubiz.nl/document/9922695/2#search=%22klimaatadaptatie%22	06-04-2021	document	Agendapunt	zandvoort_9922695
16	3. Bijlage 2 Resultatenkaart Zuid-Kennemerland	https://zandvoort.notubiz.nl/document/9924735/1#search=%22klimaatadaptatie%22	16-03-2021	document	Agendapunt	zandvoort_9924735
17	Bijlage 3. 10 resultatenkaart Zuid-Kennemerland	https://zandvoort.notubiz.nl/document/9952251/2#search=%22klimaatadaptatie%22	06-09-2024	document	Dossiers	zandvoort_9952251
18	Bijlage 3. 10 resultatenkaart Zuid-Kennemerland	https://zandvoort.notubiz.nl/document/9277504/1#search=%22klimaatadaptatie%22	17-11-2020	document	Agendapunt	zandvoort_9277504
19	Bijlage 2- Uitvoeringsprogramma Duurzaam Zandvoort 2019 - 2021	https://zandvoort.notubiz.nl/document/8061689/1#search=%22klimaatadaptatie%22	19-11-2019	document	Agendapunt	zandvoort_8061689
20	3. Bijlage 2: Uitvoeringsprogramma Duurzaam Zandvoort 2019 - 2021	https://zandvoort.notubiz.nl/document/8053873/1#search=%22klimaatadaptatie%22	08-10-2019	document	Agendapunt	zandvoort_8053873
21	1. Collegebesluit: Actieplan Groen	https://zandvoort.notubiz.nl/document/13014670/1#search=%22klimaatadaptatie%22	18-07-2023	document	Agendapunt	zandvoort_13014670
22	Beantwoording technische vragen OPZ	https://zandvoort.notubiz.nl/document/8142111/1#search=%22klimaatadaptatie%22	19-11-2019	document	Agendapunt	zandvoort_8142111
