Unnamed: 0	document_name	url	date	format	type_doc	unique_id
0	Memo inzake investeringen in de kwaliteit van de openbare ruimte	https://zoetermeer.notubiz.nl/document/4338154/1#search=%22klimaatadaptatie%22	13-05-2015	document	Weekberichten	zoetermeer_4338154
1	RAS	https://zoetermeer.notubiz.nl/document/764538/3#search=%22klimaatadaptatie%22	02-07-2013	document	Agendapunt	zoetermeer_764538
2	RAS	https://zoetermeer.notubiz.nl/document/4335701/1#search=%22klimaatadaptatie%22	1900	document	Weekberichten	zoetermeer_4335701
3	Bijlage GDO Jaarverslag 2015	https://zoetermeer.notubiz.nl/document/4340025/1#search=%22klimaatadaptatie%22	1900	document	Weekberichten	zoetermeer_4340025
4	Raadsvoorstel beheervisie openbare ruimte	https://zoetermeer.notubiz.nl/document/4339942/1#search=%22klimaatadaptatie%22	16-06-2016	document	Weekberichten	zoetermeer_4339942
5	Besluitenlijst collegevergadering 14 juni 2016	https://zoetermeer.notubiz.nl/document/4339998/1#search=%22klimaatadaptatie%22	22-06-2016	document	Weekberichten	zoetermeer_4339998
6	B&W Advies 110564 Water- en klimaattafel Haaglanden	https://zoetermeer.notubiz.nl/document/4333399/1#search=%22klimaatadaptatie%22	18-11-2011	document	Weekberichten	zoetermeer_4333399
7	VZHG JOURNAAL VOOR DE GEMEENTEN 2015.04	https://zoetermeer.notubiz.nl/document/4338140/1#search=%22klimaatadaptatie%22	08-05-2015	document	Weekberichten	zoetermeer_4338140
8	Bijlage Samen werken aan de stad Beheervisie Openbare Ruimte Zoetermeer 2016 2020 rev 4.02	https://zoetermeer.notubiz.nl/document/4339943/1#search=%22klimaatadaptatie%22	1900	document	Weekberichten	zoetermeer_4339943
9	Bijlage 3 Strategisch Keten Plan NAD	https://zoetermeer.notubiz.nl/document/4339954/1#search=%22klimaatadaptatie%22	1900	document	Weekberichten	zoetermeer_4339954
10	Bijlage 1 Programma 'Duurzaam en Groen Zoetermeer 2016 -2020'	https://zoetermeer.notubiz.nl/document/4339890/1#search=%22klimaatadaptatie%22	1900	document	Weekberichten	zoetermeer_4339890
11	Ontwerpbegroting 2015 Stadsgewest Haaglanden	https://zoetermeer.notubiz.nl/document/1313865/3#search=%22klimaatadaptatie%22	24-04-2014	document	Agendapunt	zoetermeer_1313865
12	b. Ontwerpbegroting 2015 Stadsgewest Haaglanden	https://zoetermeer.notubiz.nl/document/1284258/2#search=%22klimaatadaptatie%22	24-04-2014	document	Agendapunt	zoetermeer_1284258
13	09 begroting 2015 AB 25-06-2014	https://zoetermeer.notubiz.nl/document/1382964/3#search=%22klimaatadaptatie%22	17-06-2014	document	Agendapunt	zoetermeer_1382964
14	Plan Metropoolregio d d 30 december 2011 (2)	https://zoetermeer.notubiz.nl/document/48827/1#search=%22klimaatadaptatie%22	11-01-2012	document	Agendapunt	zoetermeer_48827
15	Bidbook	https://zoetermeer.notubiz.nl/document/4333703/1#search=%22klimaatadaptatie%22	1900	document	Weekberichten	zoetermeer_4333703
16	Ontwerpbegroting 2014 Stadsgewest Haaglanden	https://zoetermeer.notubiz.nl/document/726886/4#search=%22klimaatadaptatie%22	13-06-2013	document	Agendapunt	zoetermeer_726886
17	Aanbiedingsbrief + plan metropoolregio Rotterdam Den Haag	https://zoetermeer.notubiz.nl/document/4333585/1#search=%22klimaatadaptatie%22	27-01-2012	document	Weekberichten	zoetermeer_4333585
18	Bijlage - Beantwoording technische vragen Perspectiefnota 2016	https://zoetermeer.notubiz.nl/document/2224902/3#search=%22klimaatadaptatie%22	15-06-2015	document	Agendapunt	zoetermeer_2224902
19	Bijlage - Beantwoording technische vragen Perspectiefnota 2016	https://zoetermeer.notubiz.nl/document/4550561/3#search=%22klimaatadaptatie%22	15-06-2015	document	Agendapunt	zoetermeer_4550561
20	(collectie)	https://zoetermeer.notubiz.nl/document/4824917/1#search=%22klimaatadaptatie%22	12-05-2014	document	Evenement	zoetermeer_4824917
21	Bijlage 1 Ontwerp begroting Stadsgewest Haaglanden 2013	https://zoetermeer.notubiz.nl/document/98995/2#search=%22klimaatadaptatie%22	05-06-2012	document	Agendapunt	zoetermeer_98995
